	SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct	languagetool_detection
26	24	Diese Erfarung wurde mich späte gut helfen , bei meine Arbeit in Armenien .	Erfarung	6.0	14.0		Erfahrung		['TP']
27	25	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	Könen	0.0	5.0		Können		['TP', 'FP?']
28	25	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	sie	6.0	9.0		Sie		['FN']
29	25	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	arbeit	68.0	74.0		Arbeit		['TP']
30	26	Ich möchte wiessen welche Rechte und Pflichte ich in Deutschland habe .	wiessen	11.0	18.0		wissen		['TP']
31	27	Kann ich mit meinem Armenischen Pass nach Deutschland fliegen ?	Armenischen	20.0	31.0		armenischen		['FN']
32	28	Was für Freizeitaktivitäten die Deutschekinder mögen ?	Deutschekinder	32.0	46.0		deutschen Kinder		['TP']
33	29	Ich würde Ihnen sehr dankbar , wenn Sie alle meine Fragen bald beantworten konnen .							['FP']
34	30	Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	Uber	0.0	4.0		Über		['FN']
35	30	Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	verbliebe	57.0	66.0		verbleibe		['FN']
36	31	Julia Müller							[]
37	32	Michael Meier 1 Zentralplatz 1234 .							[]
38	33	Stadt X Aupairsglobal Bahnhofstr .							['FP', 'FP']
39	34	101 65185 Wiesbaden Tel : 0611/9988776 14-5-2011 Sehr geehrte Damen und Herren , mit großem Interesse habe ich in XY Zeitung Ihre Anzeige .							[]
40	35	Ich begeistere für diese Angebot Chance um mein Deutsch zu verbesser und andere Leute kennenzulernen , die unterschietliche und verschiedenen Ländern kommen , und ganz unterschiedliche Kulturen haben .	unterschietliche	107.0	123.0		unterschiedliche		['TP']
41	36	Ich möch-unreadable - mich über die Unterlagen informieren , die ich brauche , um eine Aufenthaltserlaubnis in Deutschland zu erhalten .							['FP']
42	37	Ich - unreadable - nicht , das ich eine Deutschprüfung bestehen muss .	das	27.0	30.0		dass		['FP?', 'FN']
43	38	Wichtig ist , meine Rechte und Pflichten zu weißen .							[]
44	39	Welche Tätigkeiten muss ich ( obligatorisch ) unbedingt erledigen und was kann ich auch freiwillig machen ?							[]
45	40	Können Sie mir doch mitteilen , ob ich eine Krankenversicherung in diesem Zentrum haben will , und ob ich am Wochende frei haben will ?	Wochende	109.0	117.0		Wochenende		['TP']
46	41	Wie kann ich die Freizeiten verbringen ?							[]
47	42	Habe Sie ein Programm dafür oder können wir das selbst organisieren ?							[]
48	43	Ich wurd wäre Ihnen sehr dankbar , wenn Sie mich meine Fragen benantworten würden .	benantworten	62.0	74.0		beantworten		['FP?', 'TP']
49	44	Mit freundlichen Grüßen Meier							[]
50	45	Eva Meier Schmidt Müllergasse 12 12345 Stadt X Kroatien Aupair-sglobal Bahnhofstr .	Aupair-sglobal	56.0	70.0		Aupairsglobal		['FP?', 'TP', 'FP?']
51	46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	interesiert	116.0	127.0		interessiert		['TP']
52	46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	teil	134.0	138.0		teilzunehmen		['FN']
53	46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	zu	139.0	141.0		teilzunehmen		['FN']
54	46	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	nehmen	142.0	148.0		teilzunehmen		['FN']
55	47	Deshalb habe ich mich entschieden diesen Brief zu schreiben und ich hoffe sie antworten mir auf meine Fragen .							[]
56	48	Ich komme aus Kroatien und bin 28 Jahre alt .							[]
57	49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	dass	43.0	47.0		das		['FP?', 'FP?', 'FN']
58	49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Au-pair	48.0	55.0		Au-pair-Stelle		['FN']
59	49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Stelle	56.0	62.0		Au-pair-Stelle		['FN']
60	49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	möglichkeit	108.0	119.0		Möglichkeit		['TP']
61	49	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	sprache	126.0	133.0		Sprache		['TP']
62	50	Gerne würde ich auch wissen welche Aufenthaltsformalit-unreadable - verlangen Sie von mir ?							['FP']
63	51	Muss ich alle Dokumente für Visum und Arbeitserlaubnis in Kroatien abgeben oder doch in Deutschland ?							[]
64	52	Können Sie mir auch mitteilen , welche Rechte ich habe ?							[]
65	53	Habe ich während meiner Zeit in Deutschland eine Krankenversicherung ?							[]
66	54	Welche Pflichten erwarten mich ?							[]
67	55	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Lehrerin	64.0	72.0		Lehrerinausbildung		['FP?', 'FN']
68	55	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Ausbildung	73.0	83.0		Lehrerinausbildung		['FN']
69	55	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	endecken	167.0	175.0		entdecken		['TP']
70	56	Auf Ihre positive Antwort freue ich mich und bei Ihnen bedanke .							[]
71	57	Mit Freundlichen grüßen , Eva Meier	Freundlichen	4.0	16.0		freundlichen		['FN']
72	57	Mit Freundlichen grüßen , Eva Meier	grüßen	17.0	23.0		Grüßen		['FN']
73	58	Abs .							['FP']
74	59	Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	WOLTE	207.0	212.0		WOLLTE		['FP?', 'FP?', 'FP?', 'TP']
75	59	Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	STELEN	234.0	240.0		STELLEN		['FN']
76	60	ICH HABE LITAUISCHE STAATSANGEHORISCHKEIT : WIE IST MIT AUFENTHALTSFORMALITÄTEN ?	STAATSANGEHORISCHKEIT	20.0	41.0		STAATSANGEHÖRIGKEIT		['TP']
77	61	"( LITAUEN IST IN den EU ) : BRAUCHE ICH """""""" EINE ABITUR DIPLOME und ec : DOKUMENTE ZU UBERSETZEN ?"	UBERSETZEN	84.0	94.0		ÜBERSETZEN		['FP?', 'FP?', 'FN']
78	62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	POWEREITUNG	26.0	37.0		vORBEREITUNG		['TP', 'FP?', 'FP?', 'FP?', 'FP?', 'FP?']
79	62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wolte	156.0	161.0		wollte		['TP']
80	62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wisen	162.0	167.0		wissen		['TP']
81	62	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	geschprochen	205.0	217.0		gesprochen		['TP']
82	63	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	Deutsche	19.0	27.0		deutsche		['FP?', 'FP?', 'FN']
83	63	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	sprache	64.0	71.0		Sprache		['TP']
84	63	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	verbesern	75.0	84.0		verbessern		['TP']
85	64	( Englisch spreche ich nicht ) Noch ein paar Fragen : - Wie viele Stunde am Tag würde ich Arbeiten ?	Arbeiten	90.0	98.0		arbeiten		['FN']
86	65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	wan	2.0	5.0		wann		['TP', 'FP?', 'FP?', 'FP?', 'FP?', 'FP?']
87	65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Schuhle	25.0	32.0		Schule		['TP']
88	65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	organizieren	81.0	93.0		organisieren		['TP']
89	65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Deutschsprache	184.0	198.0		Deutschsprachkurs		['TP']
90	65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Kurse	199.0	204.0		Deutschsprachkurs		['FN']
91	65	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	besuschen	205.0	214.0		besuchen		['TP']
92	66	Gibs in Eurere Statd solche Kurse ???	Statd	15.0	20.0		Stadt		['FP?', 'FP?', 'TP']
93	67	- Muss ich 24 St am Tag mit Familie verbringen ?							['FP']
94	68	Ich gerne schwimmen ( das tut gut für Stresausbau ) , dürfte ich das auch in Deutschland machen ?	Stresausbau	38.0	49.0		Stressabbau		['TP']
95	69	Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	mitte	47.0	52.0		Mitte		['TP', 'FP?']
96	69	Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	abreiten	74.0	82.0		arbeiten		['TP']
97	70	Schöne Gruße Frau Eva Schmidt							[]
98	71	Stadt X , 28.05.2011 Internationale Au-pair Vermittlung Bahnhofstr .							['FP']
99	72	101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	interesse	147.0	156.0		interessiert		['FP?', 'TP', 'FP?', 'FP?']
100	72	101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	ideall	269.0	275.0		ideal		['TP']
101	73	Vor allem möchte ich noch die Formalitäten erkundi-unreadable - Bitte sagen mir welche Dokumente brauche ich um das Au-pair arbeiten zu können .							['FP']
102	74	Außerdem möchte ich wissen ob ich fließend Deutsch sprechen muss oder nur kommunikativ ?							[]
103	75	Bitte sagen mir auch ob ich die Freizeit habe und welche Freizeitaktivitäten schlagen Sie mir vor Ich hoffe dass Sie mir helfen .							[]
104	76	Über eine schnelle Antwort von Ihnen würde ich mich sehr freuen .							[]
105	77	Mit freundlichen Grüßen Eva Winkelmann							[]
106	78	Meier Katharina 603.2010 .							[]
107	79	1234 Stadt X Computer-Spezialist Odenwaldstraße 5 .							['FP']
108	80	53119 Bonn Bewerbung um eine Praktikumstelle Sehr geehrte Damen und Herren , ich kenne Ihr Unternehmen als Kundin , daher möchte ich mich bei Ihnen als Praktikantin bewerben Wie Sie aus meinem Lebenslauf entnehmen können , besuche ich zur Zeit einen einjähriges Kurs .							['FP']
109	81	Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	neues	123.0	128.0		Neues		['FP?', 'FP?', 'FN']
110	81	Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	verlaüft	271.0	279.0		verläuft		['TP']
111	82	Über eine positive Rückmeldung und über eine freundliche Gespräch würde ich mich sehr freuen Mit freundlichen Grüßen Katharina M.							[]
112	83	Maria Schmidt 06.03.2010 .							[]
113	84	Bahnhofsstraße 12 Stadt X. 12345 Stadt Y Computer-Spezialist Odenwaldstraße 5 .							['FP']
114	85	55119 Bonn .							[]
115	86	Bewerbung um ein Praktikum Sehr geehrte Damen und Herren , hiermit möchte ich mich als praktikantin in Ihrer Einrichtung bewerben .	praktikantin	87.0	99.0		Praktikantin		['TP']
116	87	Ich lebe seit 7 Jahren in Deutschland und wohne seit 4 Jahren in Stadt Y. Im Sommer besuchte ich Ihre Einrichtung bei einem Exkurs der Volkshochschule .							[]
117	88	Dies hat mein Interess geweckt als Praktikantin bei Ihnen zu arbeit .							['FP', 'FP']
118	89	Dies macht mir große freude .	freude	21.0	27.0		Freude		['TP']
119	90	Ich bin verheiratet und habe eine Tochter die in den Kindergarten geht .							[]
120	91	Ich bin Motiviert an arbeite gern im Team .	Motiviert	8.0	17.0		motiviert		['FN']
121	92	Meine persönlichen Stärken sind Freundlichkeit und Zuverlässigkeit .							[]
122	93	Über eine Einladung zu einem persönlichen Gespräch , würde ich mich sehr freuen .							[]
123	94	Mit freundlichen Grüßen Maria Schmidt							[]
124	95	Katharina Winkelmann Müllergasse 12 12345 Stadt X 06.03.2010 Computer-Spezialist Odenwaldstraße 5 , m 53119 Bonn Bewerbung für Vertriebspraktikum .							['FP', 'FP']
125	96	Ich lebe seit 4 Jahren in Deutschland .							[]
126	97	Ich bin Studentin als Betriebswirtschaftslehre an der XY Universität in Stadt Y und Ich will in Deutschland weiter Studieren .	Ich	84.0	87.0		ich		['FN']
127	98	Ich möchte gerne dieses Vertriebspraktikum in Ihrem Haus absolvieren , weil ich mich für an elektronischer Datenverarbeitung interessiere .							[]
128	99	Ich kann gut mit andere Leute zusammen arbeiten Ich lerne gerne neues dazu .	neues	64.0	69.0		Neues		['FN']
129	100	Ich kann sehr gut mit Computer arbeiten und ich kenne officeprogramme sehr gut .	officeprogramme	54.0	69.0		Officeprogramme		['TP']
130	101	Ich kann flexibel arbeiten .							[]
131	102	Ich freue mich sehr über ein vorstellungsspräch .	vorstellungsspräch	29.0	47.0		Vorstellungsgespräch		['TP']
132	103	Mit freundlichen Grüßen Katharina Winkelmann							[]
133	104	Julia Schmidt Bahnhofstr .							['FP']
134	105	123 12345 Stadt X Computer-Spezialist Odenwaldstraße 5 53119 Bonn 08.02.2009 Bewerbung um einen Praktikumsplatz Sehr geehrte Damen und Herren , Ich interessiere mich dafür , mein Praktikum bei Ihrem Geschäft zu machen .	Ich	144.0	147.0		ich		['FP?', 'FN']
135	106	Für diese Stelle bringe ich alle Voraussetzungen mit .							[]
136	107	Ich habe 4 Jahre Wirtschaft an der Uni in der Ukraine studiert .							[]
137	108	Meine Spezialisierung ist Betriebswirtschaft .							[]
138	109	Ich spreche gut Russisch , Deutsch , Englisch und ich habe Grundkenntnisse in Franzosisch .	Franzosisch	78.0	89.0		Französisch		['TP']
139	110	Ich habe auch gute Computerkenntnisse .							[]
140	111	Ich habe gern mit anderen Leuten zu tun und ich arbeite gern im Team .							[]
141	112	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit , sondern auch die Mentalität der Deutschen besser kennen zu lernen .							[]
142	113	Diese Erfahrung wird mir später bei meiner Arbeit in der Ukraine helfen und in der deutscher Sprache Vielen Dank am hinaus Mit freundlichen Grüßen Julia Schmidt							[]
143	114	Julia Müller Stadt X , den 11,3,2010 Bahnhof str .	Bahnhof	37.0	44.0		Bahnhofstr.		['FP?', 'FN']
144	114	Julia Müller Stadt X , den 11,3,2010 Bahnhof str .	str	45.0	48.0		Bahnhofstr.		['TP']
145	114	Julia Müller Stadt X , den 11,3,2010 Bahnhof str .	.	49.0	50.0		Bahnhofstr.		['FN']
146	115	12 12345 Stadt X VertriebPraktikant w. / m Bahnhofstr .	VertriebPraktikant	17.0	35.0		Vertriebspraktikant		['TP', 'FP?']
147	116	5 , 53119 Bonn Seher geeharter Dammen und Herren !	Seher	15.0	20.0		Sehr		['FP?', 'FP?', 'FN']
148	116	5 , 53119 Bonn Seher geeharter Dammen und Herren !	geeharter	21.0	30.0		geehrte		['TP']
149	116	5 , 53119 Bonn Seher geeharter Dammen und Herren !	Dammen	31.0	37.0		Damen		['TP']
150	117	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	Kaufmännischen	36.0	50.0		kaufmännischen		['FP?', 'FP?', 'FN']
151	117	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	VertrebPraktik	61.0	75.0		Vertriebspraktikant		['TP']
152	117	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	ant	76.0	79.0		Vertriebspraktikant		['TP']
153	118	Ich möchte gern Teinehmen .	Teinehmen	16.0	25.0		teilnehmen		['TP']
154	119	Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	intersieren	14.0	25.0		interessieren		['TP']
155	119	Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	fach	42.0	46.0		Fach		['FN']
156	120	Invormieren Sie mir für diesen fach .	Invormieren	0.0	11.0		Informieren		['TP']
157	120	Invormieren Sie mir für diesen fach .	fach	31.0	35.0		Fach		['FN']
158	121	Bitte schreiben Sie mich wann anfängen und wie viel-unreadable - geburien habe , für Teilnehmen ?	geburien	65.0	73.0		Gebühren		['FP?', 'FP?', 'TP']
159	121	Bitte schreiben Sie mich wann anfängen und wie viel-unreadable - geburien habe , für Teilnehmen ?	Teilnehmen	85.0	95.0		teilnehmen		['FN']
160	122	und Teilen Sie mir .	Teilen	4.0	10.0		teilen		['FN']
161	123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	desen	23.0	28.0		diesen		['TP', 'FP?']
162	123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	Telefon	29.0	36.0		Telefonnummer		['FN']
163	123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	nberen	37.0	43.0		Telefonnummer		['TP']
164	123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	Teil	74.0	78.0		teilnehmen		['FN']
165	123	oder rufen Sie mir mit desen Telefon nberen 012/34567 oder das Papier für Teil nehme in meine Adresse schreiben .	nehme	79.0	84.0		teilnehmen		['FN']
166	124	Ich biedake mich für diesen invohrmieren .	biedake	4.0	11.0		bedanke		['TP', 'FP?']
167	124	Ich biedake mich für diesen invohrmieren .	invohrmieren	28.0	40.0		Information		['TP']
168	125	mit frundlichen Grüßen	mit	0.0	3.0		Mit		['FP?', 'FN']
169	125	mit frundlichen Grüßen	frundlichen	4.0	15.0		freundlichen		['TP']
170	126	Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	Als	162.0	165.0		als		['FP?', 'FP?', 'FN']
171	126	Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	enzeige	228.0	235.0		Anzeige		['TP']
172	126	Meier Müller Friedrich 05.03.10 Bahnhofsstraße 1 12345 Stadt X Tel 01234566789 Computer-Spezialist Odenwaldstraße 5 53119 Bonn Bewerbung um einen Praktikumsplatz Als Vertriebspraktikant Sehr geehrte Damen und Herren , durch Ihr enzeige von 17.01.10 bin ich seh aufmerksam geworden .	seh	257.0	260.0		sehr		['FN']
173	127	Ihr Unternehmen ist mir innovativ und international bekannt .							[]
174	128	In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	Chencen	41.0	48.0		Chancen		['TP', 'FP?', 'FP?']
175	128	In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	Kaufmännischer	53.0	67.0		kaufmännischer		['FN']
176	128	In so Arbeitsumfeld finde ich die besten Chencen als Kaufmännischer Student , deshalb bewerb ich mich heute bei Ihnen inder Zeit von 01.6.10 bis 31.08.10 .	inder	118.0	123.0		in der		['TP']
177	129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	meie	6.0	10.0		meine		['TP', 'FP?', 'FP?', 'FP?', 'FP?', 'FP?']
178	129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	erfahrung	36.0	45.0		Erfahrung		['TP']
179	129	Durch meie Schulzeit ich habe größe erfahrung mit dem EDV wie Word , Exel , etc und behersche ich 10 Finger System .	Exel	69.0	73.0		Excel		['TP']
