SentenceID	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
64	Kdy přijížděš ?						
65	Vyprávuj o prázdninové kurzy češtiny .						
66	Kolik to stojí a co je termína ?						
67	Můžeš se poslat inzerát ?						
68	Děkuju moc .						
69	Ozvi se brzy .						
70	Měj se hezký .						
71	Tomáš						
72	Milá Aleno !						
73	Děkuji Ti mnohokrát za Tvůj email , dostala jsem je před týdnem !						
74	Mám moc černé svědomí , že jsem Ti už dlouho nepsala !						
75	Nezlob na mne !						
76	Měla jsem hodně prace poslední době .						
77	Učila jsem na českou zkouškou , však dnes mám volno :) .						
78	Mimo to , děkuji za krásnou fotkou z dovolené , měla jsi moc radost !?!						
79	Co řicí o mne život ?	řicí	3	7		říci	
80	Nic zajimavého nestalo , snad jen to , že plánuju dovolenou v létě s Lukášem .						
81	Chceme jet do Norska .						
82	To je hodně prace , ale hezký :) .						
83	Studium je dobré , v březnu musím psat sociologickou zkouškou , to je tězké !						
84	Ale Jede to !						
85	To je vyborně novinu , Alena bude blízko Drážďan v létě !	vyborně	6	13		výborné	
86	Doufám , že můžeš pracovat ve firmě !						
87	Samozřejmý mám čas !						
88	Už se velmi teším na tvoji návštěvu .	teším	12	17		těším	
89	Srdečně chtěla bych Ti pozvat k mně !						
90	Kdy přijdeš ?						
91	Kde si dáme sraz ?						
92	Co se týká kurzu - to je dobrý nápad !						
93	Kdy přesně bude ?						
94	A kolik stojí ?						
95	Asi můžeš mi poslat inzerát ?!						
96	Chtěl by mílé .						
97	Dobře !						
98	Pro dnešek končím , je už pozdě večer , musím vstávat brzo zítra !						
99	Prejí Ti a tvým rodičům všechno nejlepší a zvláštně Ti hodně uspechů v 13 .						
100	dubna !						
101	Už těším za na setkání !						
102	Zatím Ahoj , Kateřina PS : Pozdravuj Tomáše od mne !						
103	Ahoj Aleno , Děkuji Ti mnohokrát za Tvoje Email .	Děkuji	13	19		děkuji	
103	Ahoj Aleno , Děkuji Ti mnohokrát za Tvoje Email .	Email	42	47		e-mail	
104	Tvoje Email dostala jsem za posledny tyden .	Email	6	11		e-mail	
104	Tvoje Email dostala jsem za posledny tyden .	posledny	28	36		poslední	
104	Tvoje Email dostala jsem za posledny tyden .	tyden	37	42		týden	
105	Mám se dobře a těším se na tvoje návštěvu .						
106	Posledny tyden byla jsem nemocna , ale teď už jsem zase fit .	Posledny	0	8		Poslední	
106	Posledny tyden byla jsem nemocna , ale teď už jsem zase fit .	tyden	9	14		týdne	
106	Posledny tyden byla jsem nemocna , ale teď už jsem zase fit .	nemocna	25	32		nemocná	
107	Co říct o mém životě ?						
108	Nic zajimavého se nestalo , ale snad , že pracuju na diplomce .						
109	Je moc práce , ale mám rada .	rada	23	27		ráda	
110	V létě pojedu do Anglie .						
111	Mám pozvání od Julie .						
112	Budu mít dovolenou od 10 .						
113	července do 25 .						
114	července 2007 .						
115	Jo , těším se na naše setkat .						
116	Pozvám tě pro odpoledne .						
117	Myslím půl tří u mi domů .						
118	Budu doma od dva hodiny .						
119	Kdy přijedeš ve Drážďanech ?						
120	Chtěla bych docházet tě na nádraží .						
121	Čtu že budu mít prázdninové kurzy češtiny .						
122	Kdy je ten a kolik stoji kurzy ?	stoji	19	24		stojí	
123	Odkud má ten zajímavý inzerat ?	inzerat	22	29		inzerát	
124	Chtěla bys posílat mi prosim ?	prosim	22	28		prosím	
125	Jinak těším se na naše setkat , že budeme žvastat =) Štastnou cestu a hodně pohody na práci .						
126	Jak se má tvoje matce ?						
127	Pozdravuj ho !						
128	Pro dnesek končím .	dnesek	4	10		dnešek	
129	Mej se hezky .	Mej	0	3		Měj	
130	Srdečně , zatim Ahoj .	zatim	10	15		zatím	
130	Srdečně , zatim Ahoj .	Ahoj	16	20		ahoj	
131	Dana						
132	Ahoj Aleno !						
133	Děkuji Ti mnohokrát za Tvůj dopis .						
134	Měla jsem velkou radost z Tvého dopisu .						
135	Ptaš ; co studium ?	Ptaš	0	4		Ptáš	
136	Mám přístí týden zkoušku a myslím jenom na studium ; nemám čas , protože musím se nazkoušku připravovat .	přístí	4	10		příští	
137	Těším se už na Tvou návštěvu v Drážďanech a chtěla bych Tě pozvat na oběd a kávu k mne .						
138	Doufam , že budeš mít chuť na něco německého .	Doufam	0	6		Doufám	
139	Kdy přijedeš , abych mohla pro Tebe jít na nádraží ?						
140	V posledním dopise jsi mi psala , že jsi našla zajímavý inzerát .						
141	Můžeš mi ho poslat ?						
142	Kdy začíná ten kurz češtiny a kolik stojí ?						
143	Těším se na naše stkání .						
144	Tím končím , protože je už pozdě večer a musím ještě něco studovat .						
145	Pozdravuj Davida !						
146	Měj se dobře !						
147	Srdečně tě zdravím .	tě	8	10		Tě	
148	Dana						
149	Ahoj Aleno !						
150	Jsem moc rád , že se maš dobře .	maš	21	24		máš	
151	Lyžovali jsme také !						
152	Byli jsme v Svícarsko .	Svícarsko	12	21		Švýcarsku	
153	Tam bylo v Davosu , víš .						
154	Maji tam hodné vyborný sýr v Svícarsko .	Maji	0	4		Mají	
154	Maji tam hodné vyborný sýr v Svícarsko .	hodné	9	14		hodně	
154	Maji tam hodné vyborný sýr v Svícarsko .	vyborný	15	22		výborný	
154	Maji tam hodné vyborný sýr v Svícarsko .	Svícarsko	29	38		Švýcarsku	
155	Moje studium je vlastné dobře .	vlastné	16	23		vlastně	
156	Samozřejmé už nepracuju hodné na diplomce .	hodné	24	29		hodně	
157	Plánuju dovolenou , ano !						
158	Ještě budu jet do Brazílie , navstivit přitelkini .	navstivit	29	38		navštívit	
158	Ještě budu jet do Brazílie , navstivit přitelkini .	přitelkini	39	49		přítelkyni	
159	Je to krasně , že bude jet do Drážďan .	krasně	6	12		krásné	
160	Museš meho navstívit dopoledne .	navstívit	11	20		navštívit	
161	Kdy bude na nadraží ?	nadraží	12	19		nádraží	
162	Budu dochazet ti ?	dochazet	5	13		docházet	
163	A Vaše univerzita nabizí prázdinové kurzy češtiny ?						
164	Je to zajímavy !	zajímavy	6	14		zajímavé	
165	Kdy to bude ?						
166	Co to stuj ?						
167	Je to cenný ?						
168	Nevadí !						
169	Chci zúčastit se !						
170	Mužeš mému posílat kopie za inzerát ?	Mužeš	0	5		Můžeš	
171	Těší mě , že bude meho navstívit !	navstívit	23	32		navštívit	
172	Bude vyborne dní !	vyborne	5	12		výborné	
172	Bude vyborne dní !	dní	13	16		dny	
173	Tak , je to dost .						
174	Mužu teď napsát zkoušku v Češtinu .	Mužu	0	4		Můžu	
174	Mužu teď napsát zkoušku v Češtinu .	napsát	9	15		napsat	
174	Mužu teď napsát zkoušku v Češtinu .	Češtinu	26	33		češtiny	
175	Mej se hezky !	Mej	0	3		Měj	
176	David						
177	Milá Aleno !						
178	Děkuju Ti mnohokrát za Tvůj email Studium je ještě hezké , protože mám hodně čas až do té doby , když diplom musit být dodělané .	email	28	33		e-mail	
179	V dovolene navstívim moje přátele v Berlině .	dovolene	2	10		dovolené	
179	V dovolene navstívim moje přátele v Berlině .	navstívim	11	20		navštívím	
180	Asi podiváme se na muzeum nebo galeie .	podiváme	4	12		podíváme	
181	Těšim se na Tvůj návštěvu .	Těšim	0	5		Těším	
182	Zvu Tě na mě doma .						
183	Co říkaš , měla bys čas odpoledné ?	odpoledné	24	33		odpoledne	
184	Kdy přijdeš ?						
185	Chtěla bych jít pro Tě .						
186	Kdy musim být na nádraží ?	musim	4	9		musím	
187	Mám ještě otázky : Kdy jsou prázdninové kurzy češtiny ?						
188	Co stoj kurz ?						
189	Asi můžeš poslat mně inzerát .						
190	To by hodně milé !						
191	Včera byl starý koncert v kostele Frauenkirche .						
192	Poslouchala jsem a dneska mám každá melodie v uchu .						
193	Ráda hrála bych tam také , ale myslim , že jsem moc špatné .	myslim	31	37		myslím	
194	Můj přišti koncert je 14 .	přišti	4	10		příští	
195	dubna v kostele Dreikönigskirche v Drážďanech .						
196	Asi Ty jsi už zde ?						
197	Těšila bych hodně !						
198	To je všechno , protože musim dělat ještě praci pro diplom .	musim	24	29		musím	
198	To je všechno , protože musim dělat ještě praci pro diplom .	praci	42	47		práci	
199	Zatim ahoj , zdravím Tě srdečně !	Zatim	0	5		Zatím	
200	Tvoje Dana						
201	Ahoj Aleno !						
202	Děkuji ti za tvůj email .	email	18	23		e-mail	
203	Studuju stále ještě geografii , ale ukončím brzo .						
204	V březnu mám poslední zkoušku a už mám strach .						
205	Toho času hledám tému pro moji diplomovou práci .						
206	To neni jednoduche !	neni	3	7		není	
206	To neni jednoduche !	jednoduche	8	18		jednoduché	
207	Neplanuju dovolenou , protože jsem byla v Praze minulý semestr .	Neplanuju	0	9		Neplánuju	
208	A mám ráda život v Praze .						
209	Pro mě to bylo jako dovolena .	dovolena	20	28		dovolená	
210	Ale možná pojedu do Slovenska , ale kdy , už nevím .						
211	Mám také ráda lyžovat .						
212	To je super , že chceš dělat stáž v Německu .						
213	Konečny mě můžeš navstivit v Drážďanech .	Konečny	0	7		Konečně	
213	Konečny mě můžeš navstivit v Drážďanech .	navstivit	17	26		navštívit	
214	V pátek odpoledne ( 13 .						
215	dubna ) pozvám tebe ke mně .						
216	Kdy příjedeš na nádraží ?	příjedeš	4	12		přijedeš	
217	Už to víš ?						
218	Budu Ti docházet na nádraží .						
219	To je zajímave , že vaše univerzita nabízí prázdninové kurzy češtiny .	zajímave	6	14		zajímavé	
220	Kolik stoji tento kurz ?	stoji	6	11		stojí	
221	A kdy bude se konat ?						
222	Můžeš posilat tento inzerát ?	posilat	6	13		poslat	
223	Hlavně doufám že bude hezký počasí , když přijdeš do Drážďan .						
224	Můžeme jít do divadla , do kina nebo na operu a tak dále ... Kdyby změnilo něco , zavolám tobě .						
225	Měj se hezky a pekny , Dana	pekny	15	20		pěkně	
226	Milá Aleno , mám velkou radost , že jsem dostala tvůj email .						
227	Studium je nudné , protože musím pracovat na diplomce .						
228	Neplánuju dovolenou , protože nemám čas .						
229	Těším se na tvou brzou navštěvu v Drážďanech .	brzou	17	22		brzkou	
229	Těším se na tvou brzou navštěvu v Drážďanech .	navštěvu	23	31		návštěvu	
230	Chceš přijít k mně v odpoledne ?	k	13	14		ke	
231	Koupím velký dort pro tebe !						
232	Kdy přijedeš v Draˇžďanech ?						
233	Chci docházet pro tebe na nadraží .	nadraží	26	33		nádraží	
234	Prázdninové kurzy češtiny jsou zajímavé .						
235	Chci se ucházet o kurze a asi stipendium .						
236	Kolik to stojí ?						
237	Kdy začina kurz ?	začina	4	10		začíná	
238	To je kouzelný , že zůstam chvilečku v Praze .						
239	Můzeš posílat mě toho inzerát ?						
240	Jsi velmi milá !						
241	Měj se dobře !						
242	Dana						
243	Ahoj Aleno , Děkuju za tvůj email .	Děkuju	13	19		děkuju	
244	Tenhle rok budu končit studium a budu začinat pracovat na diplomce .	začinat	38	45		začínat	
245	Teď planuju dovolenou s přitelkyni .	planuju	4	11		plánuju	
245	Teď planuju dovolenou s přitelkyni .	přitelkyni	24	34		přítelkyní	
246	Chceme pojedu v létě do Italíi .	Italíi	24	30		Itálie	
247	Těším se na tvoj návštěvu v Drážďancku .	tvoj	12	16		tvoji	
248	Když přijedu do Drážďanck , přijiďpřijiď k mně .						
249	V pátku odpoledne mám čas .						
250	Kolík hodin budeš přijet ?	Kolík	0	5		Kolik	
251	Budu jet pro ti na nádraži .	nádraži	19	26		nádraží	
252	Děkuju za informace o prazdninové kurzy češtiny .	prazdninové	22	33		prázdninových	
253	Je to zajímavý .	zajímavý	6	14		zajímavé	
254	Prosím , poslej mně to inzerát .						
255	Kolík stojí kurz a kdy přesně začina ho ?	Kolík	0	5		Kolik	
255	Kolík stojí kurz a kdy přesně začina ho ?	začina	30	36		začíná	
256	Jak dlouho trvalý kurz ?						
257	Doufám , ty máš šťastný v Pirně .						
258	Těším se na te .						
259	Můžeme jit do kina nebo do divadlo , když jsi tady .	jit	7	10		jít	
260	Jak v poslední navštevě .	navštevě	15	23		návštěvě	
261	Mej se hezký .	Mej	0	3		Měj	
261	Mej se hezký .	hezký	7	12		hezky	
262	Pozdravi tveho přitela .						
263	Zatím ahoj .						
264	David						
265	Ahoj , mila Alena , dekuju Ti mockratého za tveho dopis .	mila	7	11		milá	
265	Ahoj , mila Alena , dekuju Ti mockratého za tveho dopis .	dekuju	20	26		děkuju	
265	Ahoj , mila Alena , dekuju Ti mockratého za tveho dopis .	tveho	44	49		tvůj	
266	Těšim mě z bylo krasné v Rakousko a v Slovinski .	krasné	16	22		krásně	
266	Těšim mě z bylo krasné v Rakousko a v Slovinski .	Slovinski	38	47		Slovinsku	
267	Raduju se hodně na tveho brzoho navštěva do Drážďan .	navštěva	32	40		návštěvu	
268	Mužeme se setkat v muj bytě odpoledne .	Mužeme	0	6		Můžeme	
269	Kdy přijedeš na stanici do Drážďan , aby dojel jsem ti .						
270	Studium je normalně .	normalně	11	19		normální	
271	Studuju ješté matematiku v Technický Univerzitě v Draždanech .	ješté	8	13		ještě	
271	Studuju ješté matematiku v Technický Univerzitě v Draždanech .	Univerzitě	37	47		univerzitě	
271	Studuju ješté matematiku v Technický Univerzitě v Draždanech .	Draždanech	50	60		Drážďanech	
272	Začinám diplomovou prací přišti rok .	Začinám	0	7		Začínám	
272	Začinám diplomovou prací přišti rok .	prací	19	24		práci	
272	Začinám diplomovou prací přišti rok .	přišti	25	31		příští	
273	Přestože planuju kratceho dovolenou v Česke Republice v zimě .	planuju	9	16		plánuju	
273	Přestože planuju kratceho dovolenou v Česke Republice v zimě .	Česke	38	43		České	
273	Přestože planuju kratceho dovolenou v Česke Republice v zimě .	Republice	44	53		republice	
274	Vypravovala jseš do prázdninove kurzy čestiny .	čestiny	38	45		češtiny	
275	Můžeš rikat mě kolik to stoji ?	stoji	24	29		stojí	
276	Kdy je kurzu čestinu .	čestinu	13	20		češtiny	
277	Prosim , posilaš mně zajimavy inzerat protože chci přihlašovat .	Prosim	0	6		Prosím	
277	Prosim , posilaš mně zajimavy inzerat protože chci přihlašovat .	zajimavy	21	29		zajímavý	
277	Prosim , posilaš mně zajimavy inzerat protože chci přihlašovat .	inzerat	30	37		inzerát	
278	Blahopřeju moc štěsti za tvoje pohovor .	štěsti	15	21		štěstí	
279	Těším mě za tvoje navštěvu .	navštěvu	18	26		návštěvu	
280	Až do te doby .	te	6	8		té	
281	Se srdečným pozdravem , Lída .						
282	Milá Aleno , děkuju Ti mockrát za Tvůj Email .	Email	39	44		email	
283	Těsím mě , že bylo krásné v Rakousku a v Slovinsku .	Těsím	0	5		Těší	
283	Těsím mě , že bylo krásné v Rakousku a v Slovinsku .	krásné	19	25		krásně	
284	Hlavně novinka z mého života , jěště studuju .	jěště	31	36		ještě	
285	Nepracuju na diplomce .						
286	Myslím , že budu začínat diplomovou práci příští rok .						
287	Ale spravě plánuju dovolenou .						
288	Neměl jsem žádný nápad .						
289	Jsem nadšen s tvůj napadem .	napadem	19	26		nápadem	
290	Mohl bych těšit , kdybys mi poslal ten zajímavý inzerát .						
291	Potřebuju taky informaci kolík to bude stát a jak dlouho prázdníný kurz češtiny bude trvat , kdy začí a skončí .	kolík	25	30		kolik	
292	Doufám , že budes mít výsledek u firmy v Pírne .	budes	12	17		budeš	
292	Doufám , že budes mít výsledek u firmy v Pírne .	Pírne	41	46		Pirně	
293	Nemusíš být nervozní .	nervozní	12	20		nervózní	
294	Těším mě , že budeš mít čas v pátek odpoledne a přijedes do Dražďan .	přijedes	48	56		přijedeš	
294	Těším mě , že budeš mít čas v pátek odpoledne a přijedes do Dražďan .	Dražďan	60	67		Drážďan	
295	To se mi hodí , protože dopoledne budu mít zkoušku .						
296	Odpoledne budu mít čas .						
297	Mužeme se setkat v můj bytě .						
298	Protože předpokládám , že nevíš kde teď bydlím , dojdu tě na nádraží .						
299	Prosím , napíš mi kdy přijedes v pátek odpoledne .	přijedes	22	30		přijedeš	
300	Odpověz brzy !						
301	Těším mě na tvoji návštěvu .						
302	Tím končím , je už pozdě a musím rano brzo vstát .	rano	33	37		ráno	
303	Pozdravuj vsechny a hlavně Petře .	vsechny	10	17		všechny	
304	Zatím ahoj .						
305	Klára						
306	Ahoj Aleno , děkuju Ty za Tvuj email .	Ty	20	22		Ti	
306	Ahoj Aleno , děkuju Ty za Tvuj email .	Tvuj	26	30		Tvůj	
307	Jak se maš ?	maš	7	10		máš	
308	Jak krasné , že měla hezkou dovolenu .	krasné	4	10		krásné	
308	Jak krasné , že měla hezkou dovolenu .	dovolenu	28	36		dovolenou	
309	Mám se dobře .						
310	Končila jsem zkoušky a teď plánuju magisterskou práce .						
311	Nebudu mám čas za dovolenu , protože take musím pracovat - potřebuju peníze .	dovolenu	18	26		dovolenou	
311	Nebudu mám čas za dovolenu , protože take musím pracovat - potřebuju peníze .	take	37	41		také	
312	Zamozřejmě mám čas , kdyz přicházeš do Drážďan se radovám na Tebe .	Zamozřejmě	0	10		Samozřejmě	
312	Zamozřejmě mám čas , kdyz přicházeš do Drážďan se radovám na Tebe .	kdyz	21	25		když	
313	Když chceš , pozvám Ty doma v pátku odpoledne .						
314	Kdy přijedeš ?						
315	Chtela bych Ty na nádraží .	Chtela	0	6		Chtěla	
316	Prosím , můžeš poslat mně ten inzerát o prázdninove kurzy ?						
317	Chci vědět , kdy začiná a kolík stojí .	kolík	26	31		kolik	
318	Nabít skutečně je zajímavě .	zajímavě	18	26		zajímavá	
319	Snad se budu učastnit .	učastnit	13	21		účastnit	
320	Doufám , že brzo bude duben a budu vidět Tebe .						
321	Srdečně Tě zdravím Dana						
322	8.2.07 Ahoj Aleno , děkuju Ti za Tvů e-mail .						
323	Těsím se , že Tvůj dovolena byla hezka .	Těsím	0	5		Těším	
323	Těsím se , že Tvůj dovolena byla hezka .	hezka	33	38		hezká	
324	Budu jít do Rakousku také brzo .						
325	Chcí take lyžovat .	Chcí	0	4		Chci	
325	Chcí take lyžovat .	take	5	9		také	
326	Teď pracuju moc v univerzitě .						
327	Víš , že chcí dělat můj doctor a mám čas ještě jeden rok !	chcí	9	13		chci	
328	Co není moc !						
329	Těším se , že budeš jít brzo do Drášďan .	Drášďan	32	39		Drážďan	
330	Chceš navštívit mě domů ?						
331	Budu dělat čaj a dort , a potom mužeme říkat celý odpoledne o všechní .	mužeme	32	38		můžeme	
332	Kdy přijdeš v Drášďanech ?	Drášďanech	14	24		Drážďan	
333	Budu jít pro Tebě na nadraží .	Tebě	13	17		Tebe	
333	Budu jít pro Tebě na nadraží .	nadraží	21	28		nádraží	
334	Co pišeš o prazdninovéch kurzéch čeština je zajímavý .	pišeš	3	8		píšeš	
334	Co pišeš o prazdninovéch kurzéch čeština je zajímavý .	prazdninovéch	11	24		prázdninových	
334	Co pišeš o prazdninovéch kurzéch čeština je zajímavý .	kurzéch	25	32		kurzech	
335	Víš , kolik to stojí ?						
336	A kdy jsou kurzy ?						
337	Můžeš posílat mně inzerát ?						
338	Bylo by výborné !						
339	Těším se Tě vídet brzo v Drážďanech .						
340	Mnoho štěstí na pohovor !						
341	Mej se dobře , zdravím , Tomáš	Mej	0	3		Měj	
342	8.2 .						
343	'07 Ahoj Aleno !						
344	Děkuju za tvůj email .	email	15	20		e-mail	
345	Mám se dobře .						
346	Už nepracujem na diplomce , pretože mám moc čas , ale plánujem dovolena na slovensku v lét-unreadable - .	slovensku	75	84		Slovensku	
347	Těšim se , že přijdeš do Ďražďan .	Těšim	0	5		Těším	
347	Těšim se , že přijdeš do Ďražďan .	Ďražďan	25	32		Drážďan	
348	Chceš navštevovát mě doma odpolodne ?	navštevovát	6	17		navštívit	
349	Kdy přijdeš ?						
350	Budu dojdu ty na nadráží .	nadráží	17	24		nádraží	
351	Kdy je prázdninový kurz češtiný a jak dlouho potrva se ?	češtiný	24	31		češtiny	
351	Kdy je prázdninový kurz češtiný a jak dlouho potrva se ?	potrva	45	51		potrvá	
352	Nevim že můžu se dokonce ucházet o stipendium , ale samostatne bylo by výborne , kdybychom se videme často v létě .	Nevim	0	5		Nevím	
352	Nevim že můžu se dokonce ucházet o stipendium , ale samostatne bylo by výborne , kdybychom se videme často v létě .	samostatne	52	62		samostatně	
352	Nevim že můžu se dokonce ucházet o stipendium , ale samostatne bylo by výborne , kdybychom se videme často v létě .	výborne	71	78		výborné	
353	Kolik stojí tento kurz ?						
354	Mužeš poslat tento inzerát ku mě ?	Mužeš	0	5		Můžeš	
354	Mužeš poslat tento inzerát ku mě ?	mě	30	32		mně	
355	Teď , nevím , že budu navštevovát těbe v létě , pretože chcem pojet do Prievidzi s letadlem na letiště a tam chcem letát od Vysokou do Vysokou tatra a nazpět .	těbe	34	38		tebe	
355	Teď , nevím , že budu navštevovát těbe v létě , pretože chcem pojet do Prievidzi s letadlem na letiště a tam chcem letát od Vysokou do Vysokou tatra a nazpět .	pretože	48	55		protože	
355	Teď , nevím , že budu navštevovát těbe v létě , pretože chcem pojet do Prievidzi s letadlem na letiště a tam chcem letát od Vysokou do Vysokou tatra a nazpět .	letát	115	120		létat	
355	Teď , nevím , že budu navštevovát těbe v létě , pretože chcem pojet do Prievidzi s letadlem na letiště a tam chcem letát od Vysokou do Vysokou tatra a nazpět .	tatra	143	148		Tater	
356	Snad budu k tě .						
357	:-)						
358	Srdečně tě zdravím .						
359	David						
360	Dražďany , 8.2.07 Ahoj Aleno !	Dražďany	0	8		Drážďany	
361	Děkuju za tvůj dopis !						
362	Mam se vyborně .	Mam	0	3		Mám	
362	Mam se vyborně .	vyborně	7	14		výborně	
363	Těším se na setkaní !!	setkaní	12	19		setkání	
364	Kdy příjdeš do Dražďan ?	příjdeš	4	11		přijdeš	
364	Kdy příjdeš do Dražďan ?	Dražďan	15	22		Drážďan	
365	Když přijdeš odpoledne , mužu dojít pro tě na nádraží .	mužu	25	29		můžu	
366	Potom jedeme domů a tam pijeme dobré české pivo !						
367	Kupoval jsem Pilzeňský Prazdroj !	Pilzeňský	13	22		Plzeňský	
368	( vim , že maš rada :-) Znad budeme mam se čas prohližet pivovar """" Watzke """" .	vim	2	5		Vím	
368	( vim , že maš rada :-) Znad budeme mam se čas prohližet pivovar """" Watzke """" .	maš	11	14		máš	
368	( vim , že maš rada :-) Znad budeme mam se čas prohližet pivovar """" Watzke """" .	rada	15	19		ráda	
368	( vim , že maš rada :-) Znad budeme mam se čas prohližet pivovar """" Watzke """" .	Znad	24	28		Snad	
368	( vim , že maš rada :-) Znad budeme mam se čas prohližet pivovar """" Watzke """" .	prohližet	47	56		prohlížet	
369	Ale pravděpodobný budeme být opilý !						
370	Studium je velmi těšky teď , protože mam zkoušku v češtině zitra .	těšky	17	22		těžké	
370	Studium je velmi těšky teď , protože mam zkoušku v češtině zitra .	mam	37	40		mám	
370	Studium je velmi těšky teď , protože mam zkoušku v češtině zitra .	zitra	59	64		zítra	
371	Jsem trochu rozčilený , protože neměl jsem se čas učit .						
372	Nepracuju na diplomce ted , ale budu začínat přišti měsíc .	ted	22	25		teď	
372	Nepracuju na diplomce ted , ale budu začínat přišti měsíc .	přišti	45	51		příští	
373	Přišti tyden pojedu s přatelí do Litoměřic v Chechach .	Přišti	0	6		Příští	
373	Přišti tyden pojedu s přatelí do Litoměřic v Chechach .	tyden	7	12		týden	
373	Přišti tyden pojedu s přatelí do Litoměřic v Chechach .	přatelí	22	29		přáteli	
373	Přišti tyden pojedu s přatelí do Litoměřic v Chechach .	Chechach	45	53		Čechách	
374	Tam se budeme opíjet a prohlížet si na památky .						
375	Kdy je prázdninové kurzy a kolik to stoji ?	stoji	36	41		stojí	
376	Posilaš inzeráty , prosím ?	Posilaš	0	7		Posíláš	
377	Doufam , že mam čas přijet do vaší university .	Doufam	0	6		Doufám	
377	Doufam , že mam čas přijet do vaší university .	mam	12	15		mám	
378	Pozdravuj tvoje přitel a tvoje rodinu !	přitel	16	22		přítele	
379	Mejse heský , Tvůj Tomáš	Mejse	0	5		Měj	
379	Mejse heský , Tvůj Tomáš	heský	6	11		hezky	
380	19 .						
381	červenec 2006 Drahá Mileno !						
382	Předem Ti dekuji za tvuj email a posílam srdčeny pozdrav .	dekuji	10	16		děkuji	
382	Předem Ti dekuji za tvuj email a posílam srdčeny pozdrav .	tvuj	20	24		tvůj	
382	Předem Ti dekuji za tvuj email a posílam srdčeny pozdrav .	email	25	30		e-mail	
382	Předem Ti dekuji za tvuj email a posílam srdčeny pozdrav .	posílam	33	40		posílám	
382	Předem Ti dekuji za tvuj email a posílam srdčeny pozdrav .	srdčeny	41	48		srdečný	
383	Je mi lito , že pišu tak pozdě , ale musím pracovat hodně , protože příští mesice budu dělat zkoušku z češtiny .	lito	6	10		líto	
