Languagetool gets right: 809
Out of: 2136
Accuracy: 0.379

LT correct + ours correct: 673
LT correct + ours incorrect: 136
LT incorrect + ours correct: 761
LT incorrect + ours incorrect: 566

############ Correct by Languagetool, correct by us ##########
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: conoscienza 	 correct: conoscenza ours: conoscenza
orig: practicare 	 correct: praticare ours: praticare
orig: comincato 	 correct: cominciato ours: cominciato
orig: perchè 	 correct: perché ours: perché
orig: mottivo 	 correct: motivo ours: motivo
orig: perche 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: communicare 	 correct: comunicare ours: comunicare
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perfezzionare 	 correct: perfezionare ours: perfezionare
orig: piu 	 correct: più ours: più
orig: comincare 	 correct: cominciare ours: cominciare
orig: perchè 	 correct: perché ours: perché
orig: candidattura 	 correct: candidatura ours: candidatura
orig: pomerrigio 	 correct: pomeriggio ours: pomeriggio
orig: facolta 	 correct: facoltà ours: facoltà
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: maturita 	 correct: maturità ours: maturità
orig: quache 	 correct: qualche ours: qualche
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: reguardo 	 correct: riguardo ours: riguardo
orig: lunedi 	 correct: lunedì ours: lunedì
orig: perchè 	 correct: perché ours: perché
orig: cinama 	 correct: cinema ours: cinema
orig: perche 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: prezenterà 	 correct: presenterà ours: presenterà
orig: perchè 	 correct: perché ours: perché
orig: cerchare 	 correct: cercare ours: cercare
orig: maturita 	 correct: maturità ours: maturità
orig: facolta 	 correct: facoltà ours: facoltà
orig: sìa 	 correct: sia ours: sia
orig: sìano 	 correct: siano ours: siano
orig: riccezza 	 correct: ricchezza ours: ricchezza
orig: rapresenta 	 correct: rappresenta ours: rappresenta
orig: Percio 	 correct: Perciò ours: Perciò
orig: verramente 	 correct: veramente ours: veramente
orig: verramente 	 correct: veramente ours: veramente
orig: mettodo 	 correct: metodo ours: metodo
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: maturita 	 correct: maturità ours: maturità
orig: Perchè 	 correct: Perché ours: Perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: Universita 	 correct: Università ours: Università
orig: communicazione 	 correct: comunicazione ours: comunicazione
orig: thema 	 correct: tema ours: tema
orig: perchè 	 correct: perché ours: perché
orig: messeggio 	 correct: messaggio ours: messaggio
orig: Universita 	 correct: Università ours: Università
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: personalita 	 correct: personalità ours: personalità
orig: perchè 	 correct: perché ours: perché
orig: qualce 	 correct: qualche ours: qualche
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: biglitti 	 correct: biglietti ours: biglietti
orig: Perchè 	 correct: Perché ours: Perché
orig: Perchè 	 correct: Perché ours: Perché
orig: completta 	 correct: completa ours: completa
orig: Residencie 	 correct: Residence ours: Residence
orig: gironale 	 correct: giornale ours: giornale
orig: africa 	 correct: Africa ours: Africa
orig: participare 	 correct: partecipare ours: partecipare
orig: verita 	 correct: verità ours: verità
orig: pericoloze 	 correct: pericolose ours: pericolose
orig: scrupuli 	 correct: scrupoli ours: scrupoli
orig: communicare 	 correct: comunicare ours: comunicare
orig: perchè 	 correct: perché ours: perché
orig: puo 	 correct: può ours: può
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: vendità 	 correct: vendita ours: vendita
orig: virtualli 	 correct: virtuali ours: virtuali
orig: virtualli 	 correct: virtuali ours: virtuali
orig: caffé 	 correct: caffè ours: caffè
orig: societa 	 correct: società ours: società
orig: Lougano 	 correct: Lugano ours: Lugano
orig: fà 	 correct: fa ours: fa
orig: Perció 	 correct: Perciò ours: Perciò
orig: svolgiere 	 correct: svolgere ours: svolgere
orig: posibile 	 correct: possibile ours: possibile
orig: societa 	 correct: società ours: società
orig: perche 	 correct: perché ours: perché
orig: gia 	 correct: già ours: già
orig: piu 	 correct: più ours: più
orig: publicità 	 correct: pubblicità ours: pubblicità
orig: Soliderietà 	 correct: Solidarietà ours: Solidarietà
orig: piaciono 	 correct: piacciono ours: piacciono
orig: publiche 	 correct: pubbliche ours: pubbliche
orig: perche 	 correct: perché ours: perché
orig: societa 	 correct: società ours: società
orig: venerdi 	 correct: venerdì ours: venerdì
orig: proffessione 	 correct: professione ours: professione
orig: proffessione 	 correct: professione ours: professione
orig: consingli 	 correct: consigli ours: consigli
orig: svilluppare 	 correct: sviluppare ours: sviluppare
orig: Ancòra 	 correct: Ancora ours: Ancora
orig: coleghi 	 correct: colleghi ours: colleghi
orig: farrei 	 correct: farei ours: farei
orig: villagio 	 correct: villaggio ours: villaggio
orig: semprava 	 correct: sembrava ours: sembrava
orig: verita 	 correct: verità ours: verità
orig: secondo 	 correct: Secondo ours: Secondo
orig: verita 	 correct: verità ours: verità
orig: Solidarieta 	 correct: Solidarietà ours: Solidarietà
orig: perchè 	 correct: perché ours: perché
orig: tiroccinio 	 correct: tirocinio ours: tirocinio
orig: Perchè 	 correct: Perché ours: Perché
orig: Benche 	 correct: Benché ours: Benché
orig: puo 	 correct: può ours: può
orig: sviluperà 	 correct: svilupperà ours: svilupperà
orig: dittà 	 correct: ditta ours: ditta
orig: Universitá 	 correct: Università ours: Università
orig: bicichletta 	 correct: bicicletta ours: bicicletta
orig: sodisfazione 	 correct: soddisfazione ours: soddisfazione
orig: Signiora 	 correct: Signora ours: Signora
orig: perchè 	 correct: perché ours: perché
orig: anché 	 correct: anche ours: anche
orig: perchè 	 correct: perché ours: perché
orig: anché 	 correct: anche ours: anche
orig: chercando 	 correct: cercando ours: cercando
orig: conosciutto 	 correct: conosciuto ours: conosciuto
orig: chercare 	 correct: cercare ours: cercare
orig: Egrega 	 correct: Egregia ours: Egregia
orig: piaciutto 	 correct: piaciuto ours: piaciuto
orig: pachetto 	 correct: pacchetto ours: pacchetto
orig: colaboratori 	 correct: collaboratori ours: collaboratori
orig: publicato 	 correct: pubblicato ours: pubblicato
orig: pachetto 	 correct: pacchetto ours: pacchetto
orig: costreto 	 correct: costretto ours: costretto
orig: publici 	 correct: pubblici ours: pubblici
orig: pulman 	 correct: pullman ours: pullman
orig: possibilita 	 correct: possibilità ours: possibilità
orig: sottosvilupo 	 correct: sottosviluppo ours: sottosviluppo
orig: volonta 	 correct: volontà ours: volontà
orig: Societa 	 correct: Società ours: Società
orig: spezializzazione 	 correct: specializzazione ours: specializzazione
orig: Universita 	 correct: Università ours: Università
orig: cognosco 	 correct: conosco ours: conosco
orig: vocabuli 	 correct: vocaboli ours: vocaboli
orig: conoscienze 	 correct: conoscenze ours: conoscenze
orig: congratulazzioni 	 correct: congratulazioni ours: congratulazioni
orig: ringrazzio 	 correct: ringrazio ours: ringrazio
orig: ringrazzio 	 correct: ringrazio ours: ringrazio
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: Lunedi 	 correct: Lunedì ours: Lunedì
orig: fà 	 correct: fa ours: fa
orig: fà 	 correct: fa ours: fa
orig: Aspeto 	 correct: Aspetto ours: Aspetto
orig: perchè 	 correct: perché ours: perché
orig: Aguri 	 correct: Auguri ours: Auguri
orig: é 	 correct: e ours: e
orig: sarànno 	 correct: saranno ours: saranno
orig: ringarzio 	 correct: ringrazio ours: ringrazio
orig: perche 	 correct: perché ours: perché
orig: lavoró 	 correct: lavoro ours: lavoro
orig: é 	 correct: e ours: e
orig: perdonnare 	 correct: perdonare ours: perdonare
orig: affetuosamente 	 correct: affettuosamente ours: affettuosamente
orig: potró 	 correct: potrò ours: potrò
orig: piaccerebbe 	 correct: piacerebbe ours: piacerebbe
orig: Lunedi 	 correct: Lunedì ours: Lunedì
orig: perche 	 correct: perché ours: perché
orig: Potró 	 correct: Potrò ours: Potrò
orig: che 	 correct: Che ours: Che
orig: intento 	 correct: Intento ours: Intento
orig: vi 	 correct: Vi ours: Vi
orig: stefano 	 correct: Stefano ours: Stefano
orig: té 	 correct: te ours: te
orig: lunedi 	 correct: lunedì ours: lunedì
orig: grazié 	 correct: grazie ours: grazie
orig: possibilita 	 correct: possibilità ours: possibilità
orig: piú 	 correct: più ours: più
orig: tantíssimo 	 correct: tantissimo ours: tantissimo
orig: perchè 	 correct: perché ours: perché
orig: participato 	 correct: partecipato ours: partecipato
orig: preocupate 	 correct: preoccupate ours: preoccupate
orig: perchè 	 correct: perché ours: perché
orig: anchè 	 correct: anche ours: anche
orig: piu 	 correct: più ours: più
orig: é 	 correct: e ours: e
orig: é 	 correct: e ours: e
orig: prospetiva 	 correct: prospettiva ours: prospettiva
orig: miliore 	 correct: migliore ours: migliore
orig: Èra 	 correct: Era ours: Era
orig: messagio 	 correct: messaggio ours: messaggio
orig: Grazzie 	 correct: Grazie ours: Grazie
orig: piu 	 correct: più ours: più
orig: possibilita 	 correct: possibilità ours: possibilità
orig: Perchè 	 correct: Perché ours: Perché
orig: pacienza 	 correct: pazienza ours: pazienza
orig: perchè 	 correct: perché ours: perché
orig: belissima 	 correct: bellissima ours: bellissima
orig: Perchè 	 correct: Perché ours: Perché
orig: é 	 correct: e ours: e
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: cultara 	 correct: cultura ours: cultura
orig: perchè 	 correct: perché ours: perché
orig: comminciare 	 correct: cominciare ours: cominciare
orig: à 	 correct: a ours: a
orig: piu 	 correct: più ours: più
orig: piu 	 correct: più ours: più
orig: familia 	 correct: famiglia ours: famiglia
orig: perchè 	 correct: perché ours: perché
orig: comminciato 	 correct: cominciato ours: cominciato
orig: Anché 	 correct: Anche ours: Anche
orig: comminciato 	 correct: cominciato ours: cominciato
orig: comminciare 	 correct: cominciare ours: cominciare
orig: comminciare 	 correct: cominciare ours: cominciare
orig: sono 	 correct: Sono ours: Sono
orig: per 	 correct: Per ours: Per
orig: perchè 	 correct: perché ours: perché
orig: connosciuto 	 correct: conosciuto ours: conosciuto
orig: anché 	 correct: anche ours: anche
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: comminciare 	 correct: cominciare ours: cominciare
orig: comminciato 	 correct: cominciato ours: cominciato
orig: cercha 	 correct: cerca ours: cerca
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: Siccomè 	 correct: Siccome ours: Siccome
orig: perchè 	 correct: perché ours: perché
orig: puo 	 correct: può ours: può
orig: ceremonia 	 correct: cerimonia ours: cerimonia
orig: ceremonia 	 correct: cerimonia ours: cerimonia
orig: chè 	 correct: che ours: che
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: puó 	 correct: può ours: può
orig: perchè 	 correct: perché ours: perché
orig: piú 	 correct: più ours: più
orig: sappete 	 correct: sapete ours: sapete
orig: negozzio 	 correct: negozio ours: negozio
orig: chè 	 correct: che ours: che
orig: sappere 	 correct: sapere ours: sapere
orig: dificile 	 correct: difficile ours: difficile
orig: gia 	 correct: già ours: già
orig: sià 	 correct: sia ours: sia
orig: projetti 	 correct: progetti ours: progetti
orig: giurisprudenzia 	 correct: giurisprudenza ours: giurisprudenza
orig: maturita 	 correct: maturità ours: maturità
orig: piu 	 correct: più ours: più
orig: mandatò 	 correct: mandato ours: mandato
orig: maraviglia 	 correct: meraviglia ours: meraviglia
orig: paisaggi 	 correct: paesaggi ours: paesaggi
orig: sogiorno 	 correct: soggiorno ours: soggiorno
orig: priparare 	 correct: preparare ours: preparare
orig: dovè 	 correct: dove ours: dove
orig: svilupato 	 correct: sviluppato ours: sviluppato
orig: nummero 	 correct: numero ours: numero
orig: cercha 	 correct: cerca ours: cerca
orig: comminciare 	 correct: cominciare ours: cominciare
orig: comminci 	 correct: cominci ours: cominci
orig: communicare 	 correct: comunicare ours: comunicare
orig: sappere 	 correct: sapere ours: sapere
orig: lunedi 	 correct: lunedì ours: lunedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: anchè 	 correct: anche ours: anche
orig: anché 	 correct: anche ours: anche
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: conoscienze 	 correct: conoscenze ours: conoscenze
orig: confidenzà 	 correct: confidenza ours: confidenza
orig: nellà 	 correct: nella ours: nella
orig: finische 	 correct: finisce ours: finisce
orig: possibilita 	 correct: possibilità ours: possibilità
orig: perchè 	 correct: perché ours: perché
orig: verita 	 correct: verità ours: verità
orig: Lunedi 	 correct: Lunedì ours: Lunedì
orig: perchè 	 correct: perché ours: perché
orig: mercoledi 	 correct: mercoledì ours: mercoledì
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: puoì 	 correct: puoi ours: puoi
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: Perchè 	 correct: Perché ours: Perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: vità 	 correct: vita ours: vita
orig: Inoltrè 	 correct: Inoltre ours: Inoltre
orig: perche 	 correct: perché ours: perché
orig: maturita 	 correct: maturità ours: maturità
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: paghano 	 correct: pagano ours: pagano
orig: proffessori 	 correct: professori ours: professori
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: citta 	 correct: città ours: città
orig: temà 	 correct: tema ours: tema
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: decizione 	 correct: decisione ours: decisione
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: molti 	 correct: Molti ours: Molti
orig: piaccerebbe 	 correct: piacerebbe ours: piacerebbe
orig: adresso 	 correct: adesso ours: adesso
orig: essattamente 	 correct: esattamente ours: esattamente
orig: comminciare 	 correct: cominciare ours: cominciare
orig: piú 	 correct: più ours: più
orig: giá 	 correct: già ours: già
orig: piu 	 correct: più ours: più
orig: perche 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: restorante 	 correct: ristorante ours: ristorante
orig: giovedi 	 correct: giovedì ours: giovedì
orig: scrivi 	 correct: Scrivi ours: Scrivi
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: tanti 	 correct: Tanti ours: Tanti
orig: comminciare 	 correct: cominciare ours: cominciare
orig: pomerigio 	 correct: pomeriggio ours: pomeriggio
orig: perche 	 correct: perché ours: perché
orig: pomerigio 	 correct: pomeriggio ours: pomeriggio
orig: à 	 correct: a ours: a
orig: le 	 correct: Le ours: Le
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: pérchè 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Arivederci 	 correct: Arrivederci ours: Arrivederci
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perche 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perche 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perche 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: coleghi 	 correct: colleghi ours: colleghi
orig: stazzione 	 correct: stazione ours: stazione
orig: giovedi 	 correct: giovedì ours: giovedì
orig: possibilita 	 correct: possibilità ours: possibilità
orig: Arrividerci 	 correct: Arrivederci ours: Arrivederci
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: piú 	 correct: più ours: più
orig: piú 	 correct: più ours: più
orig: cittá 	 correct: città ours: città
orig: martedi 	 correct: martedì ours: martedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Proporiamo 	 correct: Proponiamo ours: Proponiamo
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Perche 	 correct: Perché ours: Perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: Perchè 	 correct: Perché ours: Perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Perchè 	 correct: Perché ours: Perché
orig: Perchè 	 correct: Perché ours: Perché
orig: piu 	 correct: più ours: più
orig: Perche 	 correct: Perché ours: Perché
orig: vaqanza 	 correct: vacanza ours: vacanza
orig: piu 	 correct: più ours: più
orig: Aspeto 	 correct: Aspetto ours: Aspetto
orig: Perche 	 correct: Perché ours: Perché
orig: venerdi 	 correct: venerdì ours: venerdì
orig: riuniune 	 correct: riunione ours: riunione
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: pommerigio 	 correct: pomeriggio ours: pomeriggio
orig: perchè 	 correct: perché ours: perché
orig: Siccuramente 	 correct: Sicuramente ours: Sicuramente
orig: perchè 	 correct: perché ours: perché
orig: nummero 	 correct: numero ours: numero
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Perchè 	 correct: Perché ours: Perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: pommeriggio 	 correct: pomeriggio ours: pomeriggio
orig: perchè 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: à 	 correct: a ours: a
orig: piú 	 correct: più ours: più
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Peccáto 	 correct: Peccato ours: Peccato
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Perche 	 correct: Perché ours: Perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perche 	 correct: perché ours: perché
orig: perche 	 correct: perché ours: perché
orig: venerdi 	 correct: venerdì ours: venerdì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perche 	 correct: perché ours: perché
orig: Perche 	 correct: Perché ours: Perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Perche 	 correct: Perché ours: Perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: giovedi 	 correct: giovedì ours: giovedì
orig: Vuoì 	 correct: Vuoi ours: Vuoi
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: giovedi 	 correct: giovedì ours: giovedì
orig: perchè 	 correct: perché ours: perché
orig: Perchè 	 correct: Perché ours: Perché
orig: perchè 	 correct: perché ours: perché
orig: perchè 	 correct: perché ours: perché
orig: à 	 correct: a ours: a
orig: Perchè 	 correct: Perché ours: Perché
orig: posibile 	 correct: possibile ours: possibile
orig: vacansa 	 correct: vacanza ours: vacanza
orig: perchè 	 correct: perché ours: perché
orig: perche 	 correct: perché ours: perché
orig: allora 	 correct: Allora ours: Allora
orig: piu 	 correct: più ours: più
orig: atualmente 	 correct: attualmente ours: attualmente
orig: é 	 correct: e ours: e
orig: ricieste 	 correct: richieste ours: richieste
orig: Giovedi 	 correct: Giovedì ours: Giovedì
orig: familia 	 correct: famiglia ours: famiglia
orig: compleano 	 correct: compleanno ours: compleanno
orig: pasticeria 	 correct: pasticceria ours: pasticceria
orig: perche 	 correct: perché ours: perché
orig: perche 	 correct: perché ours: perché
orig: lunedi 	 correct: lunedì ours: lunedì
orig: gia 	 correct: già ours: già
orig: racontare 	 correct: raccontare ours: raccontare
orig: piu 	 correct: più ours: più
orig: gia 	 correct: già ours: già
orig: speró 	 correct: spero ours: spero
orig: possibilita 	 correct: possibilità ours: possibilità
orig: anchè 	 correct: anche ours: anche
orig: Salutì 	 correct: Saluti ours: Saluti
orig: lunedi 	 correct: lunedì ours: lunedì
orig: Lunedi 	 correct: Lunedì ours: Lunedì
orig: familia 	 correct: famiglia ours: famiglia
orig: qualce 	 correct: qualche ours: qualche
orig: mercoledi 	 correct: mercoledì ours: mercoledì
orig: Prosimo 	 correct: Prossimo ours: Prossimo
orig: ticino 	 correct: Ticino ours: Ticino
orig: piu 	 correct: più ours: più
orig: quinque 	 correct: cinque ours: cinque
orig: conditionale 	 correct: condizionale ours: condizionale
orig: comminciato 	 correct: cominciato ours: cominciato
orig: come 	 correct: Come ours: Come
orig: genetori 	 correct: genitori ours: genitori
orig: é 	 correct: e ours: e
orig: é 	 correct: e ours: e
orig: tanti 	 correct: Tanti ours: Tanti
orig: cittá 	 correct: città ours: città
orig: ciama 	 correct: chiama ours: chiama
orig: Abiamo 	 correct: Abbiamo ours: Abbiamo
orig: à 	 correct: a ours: a
orig: Zealanda 	 correct: Zelanda ours: Zelanda
orig: familia 	 correct: famiglia ours: famiglia
orig: familia 	 correct: famiglia ours: famiglia
orig: montagnia 	 correct: montagna ours: montagna
orig: perche 	 correct: perché ours: perché
orig: Sizilia 	 correct: Sicilia ours: Sicilia
orig: Collosseo 	 correct: Colosseo ours: Colosseo
orig: perchè 	 correct: perché ours: perché
orig: proffessione 	 correct: professione ours: professione
orig: ci 	 correct: Ci ours: Ci
orig: Perchè 	 correct: Perché ours: Perché
orig: piaccere 	 correct: piacere ours: piacere
orig: perchè 	 correct: perché ours: perché
orig: Perchè 	 correct: Perché ours: Perché
orig: à 	 correct: a ours: a
orig: a 	 correct: A ours: A
orig: quelcosa 	 correct: qualcosa ours: qualcosa
orig: in 	 correct: In ours: In
orig: perchè 	 correct: perché ours: perché
orig: mà 	 correct: ma ours: ma
orig: negozzio 	 correct: negozio ours: negozio
orig: perchè 	 correct: perché ours: perché
orig: piu 	 correct: più ours: più
orig: dificile 	 correct: difficile ours: difficile
orig: piu 	 correct: più ours: più
orig: prefferito 	 correct: preferito ours: preferito
orig: e 	 correct: E ours: E
orig: chè 	 correct: che ours: che
orig: messagio 	 correct: messaggio ours: messaggio
orig: nummero 	 correct: numero ours: numero
orig: Qualce 	 correct: Qualche ours: Qualche
orig: à 	 correct: a ours: a
orig: cìtta 	 correct: città ours: città
orig: ciao 	 correct: Ciao ours: Ciao
orig: anché 	 correct: anche ours: anche
orig: megliori 	 correct: migliori ours: migliori
orig: quando 	 correct: Quando ours: Quando
orig: mi 	 correct: Mi ours: Mi
orig: riturnare 	 correct: ritornare ours: ritornare
orig: ciao 	 correct: Ciao ours: Ciao
orig: cittá 	 correct: città ours: città
orig: cittá 	 correct: città ours: città
orig: francia 	 correct: Francia ours: Francia
orig: la 	 correct: La ours: La
orig: nel 	 correct: Nel ours: Nel
orig: cittá 	 correct: città ours: città
orig: puó 	 correct: può ours: può
orig: racontare 	 correct: raccontare ours: raccontare
orig: quando 	 correct: Quando ours: Quando
orig: revisioné 	 correct: revisione ours: revisione
orig: citta 	 correct: città ours: città
orig: muséo 	 correct: museo ours: museo
orig: Martedi 	 correct: Martedì ours: Martedì
orig: negozzi 	 correct: negozi ours: negozi
orig: luisa 	 correct: Luisa ours: Luisa
orig: personne 	 correct: persone ours: persone
orig: hanno 	 correct: Hanno ours: Hanno
orig: pasienza 	 correct: pazienza ours: pazienza
orig: mià 	 correct: mia ours: mia
orig: Portroppo 	 correct: Purtroppo ours: Purtroppo
orig: sympatico 	 correct: simpatico ours: simpatico
orig: restorante 	 correct: ristorante ours: ristorante
orig: clara 	 correct: Clara ours: Clara
orig: Martedí 	 correct: Martedì ours: Martedì
orig: piu 	 correct: più ours: più
