	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct	languagetool_corrections
44	per quanto riguarda il trattamento non mi lamento , peró la possibilità per fare dello sport era orribile .	peró	52	56	per	però	n	['pero', 'però', 'Aero', 'Aerò', 'Ero', 'Opero', 'Operò', 'Pedro', 'Peio', 'Perù', 'Piero', 'aero', 'aerò', 'berò', 'cero', 'cerò', 'ero', 'mero', 'nero', 'opero', 'operò', 'paro', 'parò', 'pedo', 'pelo', 'pelò', 'peno', 'penò', 'pepo', 'pepò', 'per', 'pera', 'perdo', 'pere', 'peri', 'perno', 'perso', 'perì', 'peso', 'pesò', 'peto', 'piro', 'poro', 'pro', 'ptero', 'puro', 'spero', 'sperò', 'vero', 'zero', 'Perl']
45	Nella speranza che la mia lettera sia apprezzata e mi confermiate , porgo i miei piú destinti saluti .	piú	81	84	più	più	y	['più', 'PIL', 'giù', 'pi', 'pia', 'pie', 'pii', 'pio', 'piè']
46	Maria Rossi Strada Maggiore 71 12345 Città X Ungheria Solidarietà Viva Viale Bruzzi 117 21023 Milano Italia Città X , 13 agosto 2011 Spettabile Soliderietà Viva , ho appreso dall' annuncio su un giornale di ieri .	Soliderietà	144	155	solidarietà	Solidarietà	n	['Solidarietà']
47	Purché io sia libera tutto l' agosto , Vi prego di scrivermi esattemente quando posso cominciare il lavoro .	esattemente	61	72	esattamente	esattamente	y	['esattamente', 'esatte mente']
48	Signore Marco Rossi Direttore Rana 11402 Villa del Lago ITALYA Maria Bianchi Strada Maggiore 2 Città X 1234 HUNGARY Egregio Dottore Rossi , Abbiamo visto il Suo annuncio sul internet .	Abbiamo	140	147	Abbiamo	abbiamo	n	[]
49	Vi abbiano sembrato una possibilita meravigliosa con un prezzo accettabile .	possibilita	24	35	possibilità	possibilità	y	['possibilità', 'possibilista']
50	Ma adesso qui e dobbiamo lammentare per le seguenti cose .	lammentare	25	35	alimentare	lamentare	n	['lamentare', 'rammentare']
51	Sta mattina siamo partiti a nuotare ma il piscina era sovrafollata .	sovrafollata	54	66	sovraffollato	sanaffollata	n	['sovraffollata', 'sovra follata']
52	Dopo abbiamo deciso fare una passegiata all' lago ma quello e tanto lontano dalla residence che siamo andati finalmente indietro .	passegiata	29	39	passeggiata	passeggiata	y	['passeggiata']
53	Dopo abbiamo deciso fare una passegiata all' lago ma quello e tanto lontano dalla residence che siamo andati finalmente indietro .	e	60	61	è	è	y	[]
54	Egregi Signori , ho letto un annuncio sul giornale e adesso Gli scrivo perchè vorrei chiedere informazioni : Se voglio dire la verità io ho diciotto anni , ma voglio lavorare in America latina , perchè vorrei imparare la lingua .	perchè	71	77	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
55	Egregi Signori , ho letto un annuncio sul giornale e adesso Gli scrivo perchè vorrei chiedere informazioni : Se voglio dire la verità io ho diciotto anni , ma voglio lavorare in America latina , perchè vorrei imparare la lingua .	perchè	195	201	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
56	Purtroppo non ho molto tempo libero , perchè devo studiare molto , perciò se c' è possibilità vorrei andare in agosto .	perchè	38	44	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
57	Cosa é necessario esattamente per lavorare ?	é	5	6	è	è	y	['e', 'è']
58	Che cosa fará esattamente ?	fará	9	13	fare	farà	n	['Fara', 'farà', 'Ara', 'Lara', 'Mara', 'Sara', 'ara', 'bara', 'cara', 'darà', 'fama', 'far', 'farad', 'farai', 'fard', 'fare', 'fari', 'farla', 'faro', 'farsa', 'farò', 'fata', 'fava', 'fora', 'fra', 'gara', 'marà', 'para', 'rara', 'sarà', 'sfarà', 'tara', 'vara', 'zara', 'Zara']
59	Naturalmente se Lei offre qualcosa leggeró volentieri .	leggeró	35	42	leggerò	leggerò	y	['leggero', 'leggerò', 'Aleggerò', 'Eleggerò', 'aleggerò', 'eleggerò', 'legger', 'leggera', 'leggere', 'leggeri', 'leggerlo', 'leggerà', 'leggevo', 'legherò', 'legnerò', 'reggerò']
60	Egregi Signori , Sono una ragazza ventenne anni , ho letto il vostro annuncio nella Corriere della Sera nella quale state cercando persone che fanno vacanza nella vostra azienda .	Sono	17	21	Sono	sono	n	[]
61	Prima di tutto vorrei descrivere i miei problemi e le differenze tra la realtà e l' annuncio publicato .	publicato	93	102	pubblicato	pubblicato	y	['pubblicato']
62	Mi rivolgo a Voi , tramite questa lettera nella possibilità che fatemi un parziale rimborso , perchè questo viaggio era terribile ed accetabile .	perchè	94	100	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
63	Mi rivolgo a Voi , tramite questa lettera nella possibilità che fatemi un parziale rimborso , perchè questo viaggio era terribile ed accetabile .	accetabile	133	143	accettabile	accettabile	y	[]
64	Se non farete niente , allora rivolgheró a fare un denuncio .	rivolgheró	30	40	rivolgerò	rivolgerò	y	['rivogherò', 'rivolgerò']
65	La piscina era sempre sovrafollata , e il lago era lontano e cosí non ho potuto nuotatre In attesa di un Vostro cenno di riscontro , Vi porgo i miei distinti saluti Maria Rossi	sovrafollata	22	34	sovraffollate	sovraffollata	n	['sovraffollata', 'sovra follata']
66	La piscina era sempre sovrafollata , e il lago era lontano e cosí non ho potuto nuotatre In attesa di un Vostro cenno di riscontro , Vi porgo i miei distinti saluti Maria Rossi	cosí	61	65	così	così	y	['cosi', 'così', 'Osi', 'casi', 'codi', 'coesi', 'coi', 'coli', 'colsi', 'comi', 'coni', 'copi', 'cori', 'corsi', 'cos', 'cosa', 'cosci', 'cose', 'coso', 'cossi', 'costi', 'covi', 'dosi', 'osi', 'posi', 'rosi', 'tosi']
67	Il mio estate e tutto libero , e adesso ho finito i miei studi , e ad oggi non ho trovato nessun lavoro fisso e per questo scrivo per aiutare per la Vostra agenzia .	e	14	15	è	è	y	[]
68	Ho 22 anni e aiuto per tutti , perchè secondo me questo e un positivo gesto .	perchè	31	37	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
69	Ho 22 anni e aiuto per tutti , perchè secondo me questo e un positivo gesto .	e	56	57	è	è	y	[]
70	Se il mio aiuto e buono o perfetto per Voi , posso rimanere 28 settembre , ma devo tornare a Città X fino a 30 settembre .	e	16	17	è	è	y	[]
71	Ho molte esperienze lavorare in paesi sottosviluppati , perchè anche il mio luogo e non sviluppato molto .	perchè	56	62	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
72	Ho molte esperienze lavorare in paesi sottosviluppati , perchè anche il mio luogo e non sviluppato molto .	e	82	83	e	è	n	[]
73	Prima di tutto , vorrei dire che non sono soddisfatta con i servizi da una parte perché abbiate anniunciato altre cose che abbiamo ricevuto d' altra parte perché nonostante questo la vacanza non valeva la pena .	anniunciato	96	107	annunciate	annunciato	n	['Annunciato', 'annunciato']
74	C' erano molte differenze , per esempio abbiate anniunciato che il residence era di recente costruzione , inoltre , che c' era aria condizionata , il lago era vicino , e c' era opportunità di fare gli sport , come tennis e pallavolo .	anniunciato	48	59	annunciato	annunciato	y	['Annunciato', 'annunciato']
75	Invece il residenza era vecchia , l' aria condizionata non funzionava , il lago era lontanto dall' appartamento , e non abbiamo potuto fare gli sport , perché i campi da tennis era in riparazione .	lontanto	84	92	lontano	lontano	y	['lontano']
76	Adesso lavoro come insegnante nella scuola dell Monastero , e come un condottore dell corale della chiesa .	condottore	70	80	conduttore	conduttore	y	['condottare', 'conduttore', 'con dottore', 'condotto re']
77	Ma se bisogna , faro anche altri lavori .	faro	16	20	fare	farò	n	[]
78	Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , pratticamente ai abitanti di America latina e per formare la mia personalità , per conoscere altre paese , altre culture .	Instituto	52	61	Istituto	instituto	n	['Istituto']
79	Vorrei offrire il mio aiuto , per aiutare al Vostro Instituto , pratticamente ai abitanti di America latina e per formare la mia personalità , per conoscere altre paese , altre culture .	pratticamente	64	77	praticamente	praticamente	y	['praticamente']
80	Nellattesa della Vostra risposta : Michele Rossi	Nellattesa	0	10	Niellantesi	Nell'	n	['Nell attesa']
81	65 , 27100 Pavia , Italia Cara Gabriella Favati , il 2 ottobre 2011 mi rivolga a Lei con refiremento al Suo avviso in cui scrive che ha bisogno di aiuto e vorrei aitarLa .	refiremento	89	100	riferimento	riferimento	y	['Escremento', 'decremento', 'decrementò', 'deferimento', 'escremento', 'reperimento', 'riferimento', 'rifermento', 'rifermentò', 'rifiorimento']
82	65 , 27100 Pavia , Italia Cara Gabriella Favati , il 2 ottobre 2011 mi rivolga a Lei con refiremento al Suo avviso in cui scrive che ha bisogno di aiuto e vorrei aitarLa .	aitarLa	162	169	aiutarla	aiutarLa	n	['Abitarla', 'Agitarla', 'Aiutarla', 'Alitarla', 'abitarla', 'agitarla', 'aiutarla', 'alitarla', 'citarla']
83	Studio lo spagnolo da due anni e studiarlo sembra che sia utile , perchè molte persone parlano lo spagnolo .	perchè	66	72	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
84	Ho cominciato studiare l' italiano tre anni fa , perchè non c' era la possibilita di studiare lo spagnolo a scuola , però adesso amo l' italiano .	perchè	49	55	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
85	Ho cominciato studiare l' italiano tre anni fa , perchè non c' era la possibilita di studiare lo spagnolo a scuola , però adesso amo l' italiano .	possibilita	70	81	possibilità	possibilità	y	['possibilità', 'possibilista']
86	Secondo la mia opinione la perdita degli amichi é un errore grave ma c' è ancora speranza .	é	48	49	è	è	y	['e', 'è']
87	Al liceo , ho fruquantato un classe inglese , così ho un esame a livello medio della lingua inglese .	fruquantato	14	25	frequentato	frequentato	y	['frequentato']
88	Oggigiorni uso molto la lingua inglese , perchè leggo molti libri e vedo i film in inglese .	perchè	41	47	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
89	Secondo me , imparare una lingua straniera è un po' difficile , ma vale la pena , perchè se andiamo in vacanze all' estero , possiamo parlare con gli cittadini e anche fare le spese e chiedere informazioni .	perchè	82	88	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
90	Le lingue stranieri sono molto utili , quando cerchi un lavoro , perchè ci sono molte ditte multinazionali .	perchè	65	71	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
91	Università degli Studi di Pavia , Corso Strada Nuova , 65 , 27100 Pavia , Italia 1 ottobre 2011 Egregio Signora Favati , ho letto il Suo avviso e colgo l' occassione per aiutarLa .	occassione	155	165	occasione	occasione	y	['Occasione', 'occasione']
92	Uso l' inglese quasi ogni giorno perchè questa lingue è la lingua più importante .	perchè	33	39	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
93	Egregio Gabriella Favati , Lei scrivo questa lettera perchè ho trovato il Suo annuncio .	perchè	53	59	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
94	Credo che inglese sia piuttosto facile , perchè questa lingua è usata sull' internet .	perchè	41	47	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
95	Egregio Singnor Giorgo Ho letto la Sua lettera in Settimana Giovani , al numero scorso .	Singnor	8	15	signor	Signor	n	['Signor']
96	Egregio Singnor Giorgo Ho letto la Sua lettera in Settimana Giovani , al numero scorso .	Giorgo	16	22	giorno	Giorgio	n	['Giorgio', 'Giogo', 'Giorno', 'Gorgo']
97	Adesso vorrei entrare sulla problema come no scriva per queste persone che vorebbe finire l' amicinzia .	vorebbe	75	82	potrebbe	.	n	['vorrebbe']
98	Adesso vorrei entrare sulla problema come no scriva per queste persone che vorebbe finire l' amicinzia .	amicinzia	93	102	amicizia	vorrebbe	n	['Amicizia', 'amicizia']
99	So ho anche una esperianza .	esperianza	16	26	esperienza	amicizia	n	['Esperanza', 'Esperienza', 'esperienza']
100	C' è il sito web dove possiamo fare amicinzia .	amicinzia	36	45	amicizia	esperienza	n	['Amicizia', 'amicizia']
101	Intern e chat molto dificile cosa .	dificile	20	28	difficile	difficile	y	['difficile']
102	Anchio ho avuto problemi con cui .	Anchio	0	6	Anch'io	Anch'io	y	['Anch io']
103	Anchio ho cancellato dal cellulare tutti i numeri delle persone con cui ' chatao ' , ma questo soluzione non bene .	Anchio	0	6	Anch'io	Anch'io	y	['Anch io']
104	Anchio ho cancellato dal cellulare tutti i numeri delle persone con cui ' chatao ' , ma questo soluzione non bene .	chatao	74	80	Chat	chattavo	n	['Catai', 'cacao', 'cataro', 'cheta', 'chetai', 'chetalo', 'chetano', 'chetar', 'chetato', 'chetavo', 'cheto', 'chetò', 'coatto', 'chat']
105	Ho comprato una nouvo cellulare e numero .	nouvo	16	21	nuova	nuovo	n	['novo', 'nuovo']
106	-unreadable - Ho reinstalato il systema operazione nel mio computer .	systema	32	39	sistema	sistema	y	['sistema']
107	Perchè internet e molto importante parte la vita mia .	Perchè	0	6	Perché	Perché	y	['Perché', 'Parche', 'Pecche', 'Pesche', 'Petche', 'Porche', 'Purché']
108	ho fatta eticha per usare del .	eticha	9	15	etica	etica	y	['Etica', 'etica', 'etiche']
109	Gabriella Favati Dipartimento di Linguistica Teorica e Applicata Universita degli Studi di Pavia Corso Strada Nuova 65 27100 - Pavia Italia Maria Rossi Strada Maggiore 34 12345 Città X Ungheria 01/01/2011 Gentile Gabriella Favati , In referimento all' annuncio del dito di Università degli Studi di Pavia .	Universita	65	75	Università	Università	y	['Università']
110	Gabriella Favati Dipartimento di Linguistica Teorica e Applicata Universita degli Studi di Pavia Corso Strada Nuova 65 27100 - Pavia Italia Maria Rossi Strada Maggiore 34 12345 Città X Ungheria 01/01/2011 Gentile Gabriella Favati , In referimento all' annuncio del dito di Università degli Studi di Pavia .	In	232	234	In	in	n	[]
111	Vorrei ti aiuto , e scrivo la mia esperianza quando ho studiata la lingua straniera .	esperianza	34	44	esperienza	esperienza	y	['Esperanza', 'Esperienza', 'esperienza']
112	Ho provato parlare con gli altri , e ho provato conoscere la cultura itoliana , la vita , la gente .	itoliana	69	77	italiana	italiana	y	['Italiana', 'italiana']
113	Allora secondo me è molto importante se voui conoscere l' altra cultura non solo la lingua .	voui	40	44	vuoi	vuoi	y	['voci', 'voi', 'voli', 'voti', 'vuoi']
114	E ho fatto un giro in Italia , perchè durante il questo tempo ho conoscuto la lingua , la cultura , il cibo , la gente .	perchè	31	37	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
115	E ho fatto un giro in Italia , perchè durante il questo tempo ho conoscuto la lingua , la cultura , il cibo , la gente .	conoscuto	65	74	conosciuto	conosciuto	y	['conosciuto']
116	Le invio il mio curriculum , se vouó parlare con la assocazione do ho studiato .	assocazione	52	63	Associazione	associazione	n	['Associazione', 'associazione']
117	Buona gironata Maria Rossi Allegato : lingua straniera	gironata	6	14	giornata	gironata	n	['Gionata', 'giornata', 'giro nata']
118	Gabriella Favati Dipartimento di Linguistica Teorica e Applicata Università degli studi di Pavia Corso Strada Nuova 65 27100 Pavia , Italia Maria Rossi Strada Maggiore 6 Città X 12345 Ungheria Ogg : richiesta informazione Città X , 01 Ottobre 2011 Egrega Signora , mi chiamo Maria Rossi , ho 20 anni , sono una studentessa universitaria ungherese .	Egrega	248	254	Egregia	Egregia	y	['Egregia', 'Egregi', 'Segrega']
119	Posso studiare italiano più facile , perchè mia madre aiutarmi .	perchè	37	43	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
120	Con lei passo parlare tramite Internet oggigorni e così posso imparare la lingua .	oggigorni	39	48	soggiorni	oggigiorni	n	['Aggiorni', 'Oggigiorno', 'aggiorni', 'oggigiorno', 'soggiorni']
121	Maria Rossi Strada Maggiore , 12345 Città X , 12345 UNGARIA GABRIELLA FAVATI UNIVERSITÀ DEGLI STUDI DI PAVIA CORSO STRADA NUOVA , 65 27100 PAVIA ITALIA Cara Gabriella Favati , Vorrei dispiegare la mia esperienza di lingue straniere per ricerca .	Vorrei	176	182	Vorrei	vorrei	n	[]
122	Ho dovuto parlare italiano , e lo dovuto capire questa lingue , perchè se non ho capito , come ho fatto il caffe per italiani ?	perchè	64	70	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
123	Ho dovuto parlare italiano , e lo dovuto capire questa lingue , perchè se non ho capito , come ho fatto il caffe per italiani ?	caffe	107	112	caffè	caffè	y	['caffè', 'coffe', 'gaffe', 'raffe', 'zaffe']
124	I professori , ché aiutano per studenti , sono sempre buoni in Italia .	ché	15	18	che	che	y	[]
125	Settimana Giovani Via Crispi , 119 80127 , Italia Caro Giorgo , da quando tempo !	Giorgo	55	61	Giorgio	Giorgio	y	['Giorgio', 'Giogo', 'Giorno', 'Gorgo']
126	Internet é molto usare perchè posso leggere , giocare , guardare i film .	é	9	10	è	è	y	['e', 'è']
127	Internet é molto usare perchè posso leggere , giocare , guardare i film .	perchè	23	29	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
128	Se puoi , và al cinema e ristorante , al bar e bere qualcosa insieme in vivo .	và	10	12	va	va'	n	['va', 'Ava', 'Eva', 'Ha', 'IVA', 'Iva', 'Ra', 'Uva', 'V', 'Vas', 'Vs', 'Vò', 'a', 'ava', 'ba', 'ca', 'da', 'dà', 'fa', 'ha', 'la', 'là', 'ma', 'sa', 'uva', 'v', 'vai', 'val', 'van', 've', 'vi', 'via', 'VW']
129	Abbraccio la tua amica Maria	Abbraccio	0	9	Abbraccio	Abbraccio	y	[]
130	Ti consigliamo ad incontrarci con questi raggazzi così vi potete conoscere bene e dopo l' incontro poi decidere se voi tenere il rapporto con loro o no .	raggazzi	41	49	ragazzi	ragazzi	y	['ragazzi']
131	L' internet e utile e una buona cosa ma po essere anche pericoloso .	e	12	13	è	è	y	[]
132	Dopo un anno l' abbiamo cambiata alla tedesca con cui mi sono occupató per 8 anni e alla fine ho superato un' esame di lingua al livello medio .	occupató	62	70	occupato	occupato	y	['Occupato', 'occupato', 'Occupalo', 'Occupano', 'Occupata', 'Occupate', 'Occupati', 'Occupavo', 'occupalo', 'occupano', 'occupata', 'occupate', 'occupati', 'occupavo']
133	Non mi piaceva affatto perchè trovavo difficile la grammatica e devo dire che a me non sembre tanto bella .	perchè	23	29	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
134	Secondo me solo sull' internet non si può fare grande amicizia , perchè non si può conoscere la persona in fondo .	perchè	65	71	perché	perché	y	['perché', 'parche', 'pecche', 'pesche', 'petche', 'porche', 'purché']
135	Hai fatto bene di chiudere questa conoscienza .	conoscienza	34	45	conoscenza	conoscenza	y	['conoscenza', 'cono scienza']
136	Questo e più sviluppato , e poi mettere le persone in gruppi .	e	7	8	è	è	y	[]
137	Maria Rossi Strada Maggiore 10 1234 Città X , UNGHERIA GABRIELLA FAVATI UNIVERISTÀ DEGLI STUDI DI PAVIA CORSO STRADA NUOVA , 65 , 27 100 PAVIA , ITALIA Città X , 01 OTTOBRE 2011 Gentile Gabriella Favati , In riferimento al Suo avviso , che ho letto nella bacheca della nostra scuola di lingua .	In	205	207	In	in	n	[]
138	Posso practicare la lingua la , ma anche scrivo la mia tesi in italiano .	la	27	29	ma	là	n	[]
