Languagetool gets right: 13772
Out of: 38698
Accuracy: 0.356

LT correct + ours correct: 8131
LT correct + ours incorrect: 5641
LT incorrect + ours correct: 7051
LT incorrect + ours incorrect: 17875

############ Correct by Languagetool, correct by us ##########
orig: wolte 	 correct: wollte ours: wollte
orig: eis 	 correct: Eis ours: Eis
orig: bies 	 correct: bis ours: bis
orig: iest 	 correct: ist ours: ist
orig: auto 	 correct: Auto ours: Auto
orig: Der 	 correct: der ours: der
orig: friche 	 correct: frische ours: frische
orig: könen 	 correct: können ours: können
orig: gegiben 	 correct: gegeben ours: gegeben
orig: toch 	 correct: doch ours: doch
orig: hatt 	 correct: hat ours: hat
orig: fellt 	 correct: fällt ours: fällt
orig: schbazieren 	 correct: spazieren ours: spazieren
orig: lars 	 correct: Lars ours: Lars
orig: lars 	 correct: Lars ours: Lars
orig: eis 	 correct: Eis ours: Eis
orig: isd 	 correct: ist ours: ist
orig: boden 	 correct: Boden ours: Boden
orig: boden 	 correct: Boden ours: Boden
orig: eis 	 correct: Eis ours: Eis
orig: hulen 	 correct: holen ours: holen
orig: Gischichte 	 correct: Geschichte ours: Geschichte
orig: Die 	 correct: die ours: die
orig: denn 	 correct: den ours: den
orig: gestolbart 	 correct: gestolpert ours: gestolpert
orig: had 	 correct: hat ours: hat
orig: eis 	 correct: Eis ours: Eis
orig: get 	 correct: geht ours: geht
orig: gefalen 	 correct: gefallen ours: gefallen
orig: gefalen 	 correct: gefallen ours: gefallen
orig: sint 	 correct: sind ours: sind
orig: geganen 	 correct: gegangen ours: gegangen
orig: wider 	 correct: wieder ours: wieder
orig: geganen 	 correct: gegangen ours: gegangen
orig: gans 	 correct: ganz ours: ganz
orig: glüklich 	 correct: glücklich ours: glücklich
orig: Kauft 	 correct: kauft ours: kauft
orig: der 	 correct: Der ours: Der
orig: weind 	 correct: weint ours: weint
orig: glüklich 	 correct: glücklich ours: glücklich
orig: jetz 	 correct: jetzt ours: jetzt
orig: traurich 	 correct: traurig ours: traurig
orig: eis 	 correct: Eis ours: Eis
orig: wolte 	 correct: wollte ours: wollte
orig: boden 	 correct: Boden ours: Boden
orig: eis 	 correct: Eis ours: Eis
orig: eis 	 correct: Eis ours: Eis
orig: eis 	 correct: Eis ours: Eis
orig: wolte 	 correct: wollte ours: wollte
orig: wolte 	 correct: wollte ours: wollte
orig: boden 	 correct: Boden ours: Boden
orig: gefalen 	 correct: gefallen ours: gefallen
orig: getroßtet 	 correct: getröstet ours: getröstet
orig: lars 	 correct: Lars ours: Lars
orig: eis 	 correct: Eis ours: Eis
orig: Tropft 	 correct: tropft ours: tropft
orig: nimt 	 correct: nimmt ours: nimmt
orig: mund 	 correct: Mund ours: Mund
orig: schnel 	 correct: schnell ours: schnell
orig: dan 	 correct: dann ours: dann
orig: Legt 	 correct: legt ours: legt
orig: Traurig 	 correct: traurig ours: traurig
orig: Traurig 	 correct: traurig ours: traurig
orig: fro 	 correct: froh ours: froh
orig: Das 	 correct: das ours: das
orig: lars 	 correct: Lars ours: Lars
orig: siend 	 correct: sind ours: sind
orig: zusamen 	 correct: zusammen ours: zusammen
orig: giebt 	 correct: gibt ours: gibt
orig: wolte 	 correct: wollte ours: wollte
orig: wolte 	 correct: wollte ours: wollte
orig: eis 	 correct: Eis ours: Eis
orig: sint 	 correct: sind ours: sind
orig: iSt 	 correct: ist ours: ist
orig: Zitrune 	 correct: Zitrone ours: Zitrone
orig: tag 	 correct: Tag ours: Tag
orig: schokolarde 	 correct: Schokolade ours: Schokolade
orig: euro 	 correct: Euro ours: Euro
orig: gefalen 	 correct: gefallen ours: gefallen
orig: gefalen 	 correct: gefallen ours: gefallen
orig: gans 	 correct: ganz ours: ganz
orig: zusamen 	 correct: zusammen ours: zusammen
orig: stolpart 	 correct: stolpert ours: stolpert
orig: boden 	 correct: Boden ours: Boden
orig: ubrig 	 correct: übrig ours: übrig
orig: schluss 	 correct: Schluss ours: Schluss
orig: schmlzt 	 correct: schmilzt ours: schmilzt
orig: eimal 	 correct: einmal ours: einmal
orig: eis 	 correct: Eis ours: Eis
orig: gipt 	 correct: gibt ours: gibt
orig: eis 	 correct: Eis ours: Eis
orig: ganse 	 correct: ganze ours: ganze
orig: weind 	 correct: weint ours: weint
orig: ganse 	 correct: ganze ours: ganze
orig: boden 	 correct: Boden ours: Boden
orig: eis 	 correct: Eis ours: Eis
orig: zufriden 	 correct: zufrieden ours: zufrieden
orig: eis 	 correct: Eis ours: Eis
orig: Haben 	 correct: haben ours: haben
orig: eis 	 correct: Eis ours: Eis
orig: boden 	 correct: Boden ours: Boden
orig: jetzt 	 correct: Jetzt ours: Jetzt
orig: eis 	 correct: Eis ours: Eis
orig: eis 	 correct: Eis ours: Eis
orig: eis 	 correct: Eis ours: Eis
orig: weg 	 correct: Weg ours: Weg
orig: one 	 correct: ohne ours: ohne
orig: nimt 	 correct: nimmt ours: nimmt
orig: nimt 	 correct: nimmt ours: nimmt
orig: troft 	 correct: tropft ours: tropft
orig: fro 	 correct: froh ours: froh
orig: farabredet 	 correct: verabredet ours: verabredet
orig: dan 	 correct: dann ours: dann
orig: siend 	 correct: sind ours: sind
orig: tropfen 	 correct: Tropfen ours: Tropfen
orig: tages 	 correct: Tages ours: Tages
orig: genomen 	 correct: genommen ours: genommen
orig: genomen 	 correct: genommen ours: genommen
orig: wagen 	 correct: Wagen ours: Wagen
orig: dan 	 correct: dann ours: dann
orig: fil 	 correct: fiel ours: fiel
orig: boden 	 correct: Boden ours: Boden
orig: dan 	 correct: dann ours: dann
orig: abgipt 	 correct: abgibt ours: abgibt
orig: unt 	 correct: und ours: und
orig: unt 	 correct: und ours: und
orig: unt 	 correct: und ours: und
orig: unt 	 correct: und ours: und
orig: fel 	 correct: fiel ours: fiel
orig: tailen 	 correct: teilen ours: teilen
orig: geffalen 	 correct: gefallen ours: gefallen
orig: una 	 correct: und ours: und
orig: bude 	 correct: Bude ours: Bude
orig: eis 	 correct: Eis ours: Eis
orig: wolte 	 correct: wollte ours: wollte
orig: ncht 	 correct: nicht ours: nicht
orig: ge-schaft 	 correct: geschafft ours: geschafft
orig: falen 	 correct: fallen ours: fallen
orig: Trenen 	 correct: Tränen ours: Tränen
orig: waeiter 	 correct: weiter ours: weiter
orig: genuch 	 correct: genug ours: genug
orig: sii 	 correct: sie ours: sie
orig: komt 	 correct: kommt ours: kommt
orig: weind 	 correct: weint ours: weint
orig: komt 	 correct: kommt ours: kommt
orig: noh 	 correct: noch ours: noch
orig: eis 	 correct: Eis ours: Eis
orig: troft 	 correct: tropft ours: tropft
orig: ghen 	 correct: gehen ours: gehen
orig: stölpert 	 correct: stolpert ours: stolpert
orig: hand 	 correct: Hand ours: Hand
orig: eis 	 correct: Eis ours: Eis
orig: weind 	 correct: weint ours: weint
orig: ghen 	 correct: gehen ours: gehen
orig: gipt 	 correct: gibt ours: gibt
orig: eis 	 correct: Eis ours: Eis
orig: fengt 	 correct: fängt ours: fängt
orig: wek 	 correct: weg ours: weg
orig: geckauft 	 correct: gekauft ours: gekauft
orig: dan 	 correct: dann ours: dann
orig: dan 	 correct: dann ours: dann
orig: bein 	 correct: Bein ours: Bein
orig: Larr 	 correct: Lars ours: Lars
orig: boden 	 correct: Boden ours: Boden
orig: Larr 	 correct: Lars ours: Lars
orig: dan 	 correct: dann ours: dann
orig: strand 	 correct: Strand ours: Strand
orig: boden 	 correct: Boden ours: Boden
orig: kapu-t 	 correct: kaputt ours: kaputt
orig: tzufriden 	 correct: zufrieden ours: zufrieden
orig: denn 	 correct: den ours: den
orig: fehllt 	 correct: fällt ours: fällt
orig: dan 	 correct: dann ours: dann
orig: dan 	 correct: dann ours: dann
orig: dan 	 correct: dann ours: dann
orig: dan 	 correct: dann ours: dann
orig: gefalen 	 correct: gefallen ours: gefallen
orig: gegange 	 correct: gegangen ours: gegangen
orig: hund 	 correct: Hund ours: Hund
orig: gefalen 	 correct: gefallen ours: gefallen
orig: wider 	 correct: wieder ours: wieder
orig: glüklich 	 correct: glücklich ours: glücklich
orig: Langsam 	 correct: langsam ours: langsam
orig: boden 	 correct: Boden ours: Boden
orig: schmiltzt 	 correct: schmilzt ours: schmilzt
orig: gefalen 	 correct: gefallen ours: gefallen
orig: wei-ter 	 correct: weiter ours: weiter
orig: nac 	 correct: nach ours: nach
orig: nac 	 correct: nach ours: nach
orig: nac 	 correct: nach ours: nach
orig: vonn 	 correct: von ours: von
orig: frölich 	 correct: fröhlich ours: fröhlich
orig: get 	 correct: geht ours: geht
orig: eimal 	 correct: einmal ours: einmal
orig: Das 	 correct: das ours: das
orig: Der 	 correct: der ours: der
orig: glüklich 	 correct: glücklich ours: glücklich
orig: lars 	 correct: Lars ours: Lars
orig: lars 	 correct: Lars ours: Lars
orig: lars 	 correct: Lars ours: Lars
orig: spaziren 	 correct: spazieren ours: spazieren
orig: traurich 	 correct: traurig ours: traurig
orig: traurich 	 correct: traurig ours: traurig
orig: schnel 	 correct: schnell ours: schnell
orig: schnel 	 correct: schnell ours: schnell
orig: lars 	 correct: Lars ours: Lars
orig: wider 	 correct: wieder ours: wieder
orig: wider 	 correct: wieder ours: wieder
orig: glüklich 	 correct: glücklich ours: glücklich
orig: wider 	 correct: wieder ours: wieder
orig: glüklich 	 correct: glücklich ours: glücklich
orig: Das 	 correct: das ours: das
orig: Das 	 correct: das ours: das
orig: komt 	 correct: kommt ours: kommt
orig: Das 	 correct: das ours: das
orig: Noch 	 correct: noch ours: noch
orig: eis 	 correct: Eis ours: Eis
orig: fuß 	 correct: Fuß ours: Fuß
orig: Parg 	 correct: Park ours: Park
orig: eis 	 correct: Eis ours: Eis
orig: Das 	 correct: das ours: das
orig: Gestolpert 	 correct: gestolpert ours: gestolpert
orig: Das 	 correct: das ours: das
orig: sakte 	 correct: sagte ours: sagte
orig: wielzt 	 correct: willst ours: willst
orig: eis 	 correct: Eis ours: Eis
orig: geschtolpert 	 correct: gestolpert ours: gestolpert
orig: eis 	 correct: Eis ours: Eis
orig: grose 	 correct: große ours: große
orig: wolte 	 correct: wollte ours: wollte
orig: Sich 	 correct: sich ours: sich
orig: spatzieren 	 correct: spazieren ours: spazieren
orig: genomen 	 correct: genommen ours: genommen
orig: eis 	 correct: Eis ours: Eis
orig: unterweks 	 correct: unterwegs ours: unterwegs
orig: eis 	 correct: Eis ours: Eis
orig: eis 	 correct: Eis ours: Eis
orig: der 	 correct: Der ours: Der
orig: Ist 	 correct: ist ours: ist
orig: tiaurich 	 correct: traurig ours: traurig
orig: weiel 	 correct: weil ours: weil
orig: glüklich 	 correct: glücklich ours: glücklich
orig: zufriden 	 correct: zufrieden ours: zufrieden
orig: geganen 	 correct: gegangen ours: gegangen
orig: lea 	 correct: Lea ours: Lea
orig: sint 	 correct: sind ours: sind
orig: gefalen 	 correct: gefallen ours: gefallen
orig: gipt 	 correct: gibt ours: gibt
orig: sint 	 correct: sind ours: sind
orig: glüklich 	 correct: glücklich ours: glücklich
orig: drausen 	 correct: draußen ours: draußen
orig: weg 	 correct: Weg ours: Weg
orig: genomen 	 correct: genommen ours: genommen
orig: eis 	 correct: Eis ours: Eis
orig: gestolbert 	 correct: gestolpert ours: gestolpert
orig: boden 	 correct: Boden ours: Boden
orig: gefalen 	 correct: gefallen ours: gefallen
orig: Freind 	 correct: Freund ours: Freund
orig: spaziren 	 correct: spazieren ours: spazieren
orig: beckommen 	 correct: bekommen ours: bekommen
orig: boden 	 correct: Boden ours: Boden
orig: Alle 	 correct: alle ours: alle
orig: Runter 	 correct: runter ours: runter
orig: montag 	 correct: Montag ours: Montag
orig: troft 	 correct: tropft ours: tropft
orig: komen 	 correct: kommen ours: kommen
orig: boden 	 correct: Boden ours: Boden
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: boden 	 correct: Boden ours: Boden
orig: gipt 	 correct: gibt ours: gibt
orig: eis 	 correct: Eis ours: Eis
orig: gantz 	 correct: ganz ours: ganz
orig: plötz-lich 	 correct: plötzlich ours: plötzlich
orig: sint 	 correct: sind ours: sind
orig: gipt 	 correct: gibt ours: gibt
orig: wolte 	 correct: wollte ours: wollte
orig: lars 	 correct: Lars ours: Lars
orig: eis 	 correct: Eis ours: Eis
orig: könen 	 correct: können ours: können
orig: eis 	 correct: Eis ours: Eis
orig: dan 	 correct: dann ours: dann
orig: essen 	 correct: Essen ours: Essen
orig: und 	 correct: Und ours: Und
orig: hund 	 correct: Hund ours: Hund
orig: stellte- 	 correct: stellte ours: stellte
orig: bein 	 correct: Bein ours: Bein
orig: eis 	 correct: Eis ours: Eis
orig: gigessen 	 correct: gegessen ours: gegessen
orig: gigessen 	 correct: gegessen ours: gegessen
orig: ferletzt 	 correct: verletzt ours: verletzt
orig: dan 	 correct: dann ours: dann
orig: frölich 	 correct: fröhlich ours: fröhlich
orig: leuft 	 correct: läuft ours: läuft
orig: bilder 	 correct: Bilder ours: Bilder
orig: glucklich 	 correct: glücklich ours: glücklich
orig: drausen 	 correct: draußen ours: draußen
orig: sakt 	 correct: sagt ours: sagt
orig: Traurig 	 correct: traurig ours: traurig
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: hir 	 correct: hier ours: hier
orig: geduldigt 	 correct: geduldig ours: geduldig
orig: alz 	 correct: als ours: als
orig: Gegeben 	 correct: gegeben ours: gegeben
orig: ht 	 correct: hat ours: hat
orig: abhaun 	 correct: abhauen ours: abhauen
orig: Wieder 	 correct: wieder ours: wieder
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: sehtzt 	 correct: setzt ours: setzt
orig: Stieft 	 correct: Stift ours: Stift
orig: Stieft 	 correct: Stift ours: Stift
orig: freund 	 correct: Freund ours: Freund
orig: for 	 correct: vor ours: vor
orig: Stieft 	 correct: Stift ours: Stift
orig: ferschwundene 	 correct: verschwundene ours: verschwundene
orig: suchd 	 correct: sucht ours: sucht
orig: get 	 correct: geht ours: geht
orig: su 	 correct: zu ours: zu
orig: micht 	 correct: nicht ours: nicht
orig: nimt 	 correct: nimmt ours: nimmt
orig: Futtert 	 correct: futtert ours: futtert
orig: fienet 	 correct: findet ours: findet
orig: traurich 	 correct: traurig ours: traurig
orig: glüklich 	 correct: glücklich ours: glücklich
orig: ferschwunden 	 correct: verschwunden ours: verschwunden
orig: speter 	 correct: später ours: später
orig: speter 	 correct: später ours: später
orig: glüklich 	 correct: glücklich ours: glücklich
orig: freude 	 correct: Freude ours: Freude
orig: hengt 	 correct: hängt ours: hängt
orig: fur 	 correct: für ours: für
orig: lars 	 correct: Lars ours: Lars
orig: Sagt 	 correct: sagt ours: sagt
orig: hund 	 correct: Hund ours: Hund
orig: tages 	 correct: Tages ours: Tages
orig: hund 	 correct: Hund ours: Hund
orig: Televon 	 correct: Telefon ours: Telefon
orig: Freunt 	 correct: Freund ours: Freund
orig: Televon 	 correct: Telefon ours: Telefon
orig: gevunden 	 correct: gefunden ours: gefunden
orig: wircklich 	 correct: wirklich ours: wirklich
orig: sovort 	 correct: sofort ours: sofort
orig: Hat 	 correct: hat ours: hat
orig: unt 	 correct: und ours: und
orig: Hat 	 correct: hat ours: hat
orig: wnd 	 correct: und ours: und
orig: ende 	 correct: Ende ours: Ende
orig: nehbehn 	 correct: neben ours: neben
orig: dan 	 correct: dann ours: dann
orig: glucklich 	 correct: glücklich ours: glücklich
orig: glucklich 	 correct: glücklich ours: glücklich
orig: vroh 	 correct: froh ours: froh
orig: zeit 	 correct: Zeit ours: Zeit
orig: glück 	 correct: Glück ours: Glück
orig: Strorße 	 correct: Straße ours: Straße
orig: Okey 	 correct: Okay ours: Okay
orig: Hunt 	 correct: Hund ours: Hund
orig: Hat 	 correct: hat ours: hat
orig: anruf 	 correct: Anruf ours: Anruf
orig: gefunde 	 correct: gefunden ours: gefunden
orig: shie 	 correct: sie ours: sie
orig: Haben 	 correct: haben ours: haben
orig: for 	 correct: vor ours: vor
orig: anruf 	 correct: Anruf ours: Anruf
orig: hemand 	 correct: jemand ours: jemand
orig: ferschwunden 	 correct: verschwunden ours: verschwunden
orig: kome 	 correct: komme ours: komme
orig: sofart 	 correct: sofort ours: sofort
orig: fenzter 	 correct: Fenster ours: Fenster
orig: plakate 	 correct: Plakate ours: Plakate
orig: plakat 	 correct: Plakat ours: Plakat
orig: telefon 	 correct: Telefon ours: Telefon
orig: glüklich 	 correct: glücklich ours: glücklich
orig: zimmer 	 correct: Zimmer ours: Zimmer
orig: kligelt 	 correct: klingelt ours: klingelt
orig: tellefon 	 correct: Telefon ours: Telefon
orig: get 	 correct: geht ours: geht
orig: gesag 	 correct: gesagt ours: gesagt
orig: kligelt 	 correct: klingelt ours: klingelt
orig: glücklig 	 correct: glücklich ours: glücklich
orig: fressen 	 correct: Fressen ours: Fressen
orig: hengt 	 correct: hängt ours: hängt
orig: plakate 	 correct: Plakate ours: Plakate
orig: vermist 	 correct: vermisst ours: vermisst
orig: Klingelt 	 correct: klingelt ours: klingelt
orig: gemeldt 	 correct: gemeldet ours: gemeldet
orig: lars 	 correct: Lars ours: Lars
orig: lars 	 correct: Lars ours: Lars
orig: bilder 	 correct: Bilder ours: Bilder
orig: wek 	 correct: weg ours: weg
orig: weinent 	 correct: weinend ours: weinend
orig: anruf 	 correct: Anruf ours: Anruf
orig: sagd 	 correct: sagt ours: sagt
orig: hengt 	 correct: hängt ours: hängt
orig: plakate 	 correct: Plakate ours: Plakate
orig: anruf 	 correct: Anruf ours: Anruf
orig: plakate 	 correct: Plakate ours: Plakate
orig: traurich 	 correct: traurig ours: traurig
orig: traurich 	 correct: traurig ours: traurig
orig: anruf 	 correct: Anruf ours: Anruf
orig: wider 	 correct: wieder ours: wieder
orig: wider 	 correct: wieder ours: wieder
orig: Hat 	 correct: hat ours: hat
orig: fenster 	 correct: Fenster ours: Fenster
orig: wider 	 correct: wieder ours: wieder
orig: genomen 	 correct: genommen ours: genommen
orig: überlekt 	 correct: überlegt ours: überlegt
orig: könte 	 correct: könnte ours: könnte
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: niemant 	 correct: niemand ours: niemand
orig: brinkt 	 correct: bringt ours: bringt
orig: lars 	 correct: Lars ours: Lars
orig: fro 	 correct: froh ours: froh
orig: tages 	 correct: Tages ours: Tages
orig: ferloren 	 correct: verloren ours: verloren
orig: Plakarte 	 correct: Plakate ours: Plakate
orig: ferloren 	 correct: verloren ours: verloren
orig: wa-rtet 	 correct: wartet ours: wartet
orig: fengt 	 correct: fängt ours: fängt
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: get 	 correct: geht ours: geht
orig: kli-ngelt 	 correct: klingelt ours: klingelt
orig: Zimer 	 correct: Zimmer ours: Zimmer
orig: anruf 	 correct: Anruf ours: Anruf
orig: wiedr 	 correct: wieder ours: wieder
orig: glucklich 	 correct: glücklich ours: glücklich
orig: wel 	 correct: weil ours: weil
orig: gfunden 	 correct: gefunden ours: gefunden
orig: for 	 correct: vor ours: vor
orig: gfunden 	 correct: gefunden ours: gefunden
orig: Kam 	 correct: kam ours: kam
orig: gfunden 	 correct: gefunden ours: gefunden
orig: traurich 	 correct: traurig ours: traurig
orig: lars 	 correct: Lars ours: Lars
orig: tür 	 correct: Tür ours: Tür
orig: vermist 	 correct: vermisst ours: vermisst
orig: plakate 	 correct: Plakate ours: Plakate
orig: tag 	 correct: Tag ours: Tag
orig: Und 	 correct: und ours: und
orig: eimal 	 correct: einmal ours: einmal
orig: lars 	 correct: Lars ours: Lars
orig: dan 	 correct: dann ours: dann
orig: tür 	 correct: Tür ours: Tür
orig: umar-men 	 correct: umarmen ours: umarmen
orig: hengt 	 correct: hängt ours: hängt
orig: geöfnet 	 correct: geöffnet ours: geöffnet
orig: schnel 	 correct: schnell ours: schnell
orig: bilder 	 correct: Bilder ours: Bilder
orig: muste 	 correct: musste ours: musste
orig: Minut 	 correct: Minute ours: Minute
orig: tür 	 correct: Tür ours: Tür
orig: hengt 	 correct: hängt ours: hängt
orig: glüklich 	 correct: glücklich ours: glücklich
orig: glüklich 	 correct: glücklich ours: glücklich
orig: wek 	 correct: weg ours: weg
orig: plakate 	 correct: Plakate ours: Plakate
orig: ohr 	 correct: Ohr ours: Ohr
orig: erleichtard 	 correct: erleichtert ours: erleichtert
orig: anruf 	 correct: Anruf ours: Anruf
orig: sagd 	 correct: sagt ours: sagt
orig: glüklich 	 correct: glücklich ours: glücklich
orig: hänkt 	 correct: hängt ours: hängt
orig: wider 	 correct: wieder ours: wieder
orig: fourschwunden 	 correct: verschwunden ours: verschwunden
orig: poster 	 correct: Poster ours: Poster
orig: dan 	 correct: dann ours: dann
orig: Den 	 correct: den ours: den
orig: hengt 	 correct: hängt ours: hängt
orig: anruf 	 correct: Anruf ours: Anruf
orig: Plötlich 	 correct: Plötzlich ours: Plötzlich
orig: Das 	 correct: das ours: das
orig: fenster 	 correct: Fenster ours: Fenster
orig: plakate 	 correct: Plakate ours: Plakate
orig: anruf 	 correct: Anruf ours: Anruf
orig: Plözlich 	 correct: Plötzlich ours: Plötzlich
orig: plakat 	 correct: Plakat ours: Plakat
orig: suche 	 correct: Suche ours: Suche
orig: gehmaht 	 correct: gemacht ours: gemacht
orig: Freunt 	 correct: Freund ours: Freund
orig: irem 	 correct: ihrem ours: ihrem
orig: irhen 	 correct: ihren ours: ihren
orig: Numer 	 correct: Nummer ours: Nummer
orig: ferschwu-den 	 correct: verschwunden ours: verschwunden
orig: hengen 	 correct: hängen ours: hängen
orig: anruffen 	 correct: anrufen ours: anrufen
orig: nimand 	 correct: niemand ours: niemand
orig: kommaen 	 correct: kommen ours: kommen
orig: Entlich 	 correct: Endlich ours: Endlich
orig: anruf 	 correct: Anruf ours: Anruf
orig: drausen 	 correct: draußen ours: draußen
orig: anruf 	 correct: Anruf ours: Anruf
orig: plözlich 	 correct: plötzlich ours: plötzlich
orig: ferschwunden 	 correct: verschwunden ours: verschwunden
orig: bilder 	 correct: Bilder ours: Bilder
orig: Jeden 	 correct: jeden ours: jeden
orig: irgendwan 	 correct: irgendwann ours: irgendwann
orig: for 	 correct: vor ours: vor
orig: freude 	 correct: Freude ours: Freude
orig: uhr 	 correct: Uhr ours: Uhr
orig: schmekt 	 correct: schmeckt ours: schmeckt
orig: ferloren 	 correct: verloren ours: verloren
orig: get 	 correct: geht ours: geht
orig: traurich 	 correct: traurig ours: traurig
orig: drausen 	 correct: draußen ours: draußen
orig: fer-sucht 	 correct: versucht ours: versucht
orig: traurik 	 correct: traurig ours: traurig
orig: verlohren 	 correct: verloren ours: verloren
orig: nimand 	 correct: niemand ours: niemand
orig: lars 	 correct: Lars ours: Lars
orig: lars 	 correct: Lars ours: Lars
orig: anruf 	 correct: Anruf ours: Anruf
orig: bekomt 	 correct: bekommt ours: bekommt
orig: anruf 	 correct: Anruf ours: Anruf
