	Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct	languagetool_corrections
10	Ich habe Linguistik studiert und spreche Deutsch , Russicsh und Armenisch .	Russicsh	51	59	russisch	Russisch	n	['Russisch', 'Russische', 'Rassisch']
11	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	sondan	131	137	sondern	sondern	y	['montan', 'Montan', 'mondän', 'sondern', 'London', 'fortan', 'wohnten', 'Jordan', 'senden', 'sodann', 'spontan', 'Honda', 'Montag', 'Fontane', 'Konten', 'zünden', 'Bogdan', 'Fontäne', 'montane', 'sonder']
12	Ich möchte in Deutschland arbeiten , weil ich glaube , dass ich auf diese Weise die Gelegenheit haben werde , nicht nur die Arbeit sondan auch die Mentalitet der Deutschen besse kennen zu lernen .	Mentalitet	147	157	Mentalität	Mentalität	y	['Mentalität', 'Mortalität', 'Genialität', 'Mentalitäten', 'Feudalität', 'Mendeltet', 'Medialität', 'Mondänität', 'Mentalist', 'Mentalisten']
13	Diese Erfarung wurde mich späte gut helfen , bei meine Arbeit in Armenien .	Erfarung	6	14	Erfahrung	Erfahrung	y	['Erfahrung', 'Ernährung', 'Erfassung', 'Erwartung', 'Erwärmung', 'Erbauung', 'Erwägung', 'Erbarmung', 'Erfragung', 'Erhärtung', 'Erhörung']
14	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	Könen	0	5	Tönen	Können	n	['Tönen', 'Können', 'Bönen', 'Könne', 'Fönen', 'Krönen', 'Klönen', 'Gönnen', 'Körnen', 'Kösen', 'Einen', 'Denen', 'Gönne', 'Gören', 'Ihnen', 'König', 'Köln', 'Hören', 'Gegen', 'Kann']
15	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	sie	6	9	Sie	Sie	y	[]
16	Könen sie mir mitteilen alle Bedingungen und Formalitäten von diese arbeit .	arbeit	68	74	Arbeit	Arbeit	y	['Arbeit', 'arbeite', 'arbeiten', 'arbeitet', 'breit', 'Urzeit', 'abreißt', 'abriet', 'abbeißt', 'abreist', 'artet', 'anbei', 'reit', 'Breit', 'Carbid', 'Farbei', 'Garzeit', 'Karbid', 'Orbit', 'Orplid']
17	Ich möchte wiessen welche Rechte und Pflichte ich in Deutschland habe .	wiessen	11	18	wissen	wissen	y	['ließen', 'weißen', 'wissen', 'hießen', 'wiesen', 'gießen', 'wessen', 'Dießen', 'Gießen', 'dessen', 'diesen', 'vielen', 'vierten', 'weisen', 'weiße', 'Hessen', 'heißen', 'fressen', 'messen', 'vierzehn']
18	Kann ich mit meinem Armenischen Pass nach Deutschland fliegen ?	Armenischen	20	31	armenischen	armenischen	y	['armenischen']
19	Was für Freizeitaktivitäten die Deutschekinder mögen ?	Deutschekinder	32	46	rutschender	deutschen Kinder	n	['Deutschinder', 'Deutscheckente', 'Deutscheinader', 'Deutscheckinder', 'Deutscheininder', 'Deutschekelinder', 'Deutscheckkinder', 'Deutscheinkinder', 'Deutschwerkinder', 'Deutschkinder', 'Deutscherfinder', 'Deutschrinder', 'Deutschägypter', 'Deutschbinder', 'Deutschschinder', 'Deutsch-konter', 'Deutscheinser', 'Deutschemitter', 'Deutschfinder', 'Deutschprinter']
20	Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	Uber	0	4	User	Über	n	[]
21	Uber eine positive Antwort wurde ich mir sehr freuen und verbliebe mit freundlich Grüßen	verbliebe	57	66	verbleibe	verbleibe	y	[]
22	Ich begeistere für diese Angebot Chance um mein Deutsch zu verbesser und andere Leute kennenzulernen , die unterschietliche und verschiedenen Ländern kommen , und ganz unterschiedliche Kulturen haben .	unterschietliche	107	123	unterschiedlichen	unterschiedliche	n	['unterschiedliche', 'unterschiedlichen', 'unterschiedlich', 'unterschiedlicher', 'unterschiedlichem', 'unterschiedliches', 'unterschiedlichste', 'unterschwellige', 'unterschiedlichere', 'unterschiedlichst']
23	Ich - unreadable - nicht , das ich eine Deutschprüfung bestehen muss .	das	27	30	dass	dass	y	[]
24	Können Sie mir doch mitteilen , ob ich eine Krankenversicherung in diesem Zentrum haben will , und ob ich am Wochende frei haben will ?	Wochende	109	117	kochende	Wochenende	n	['Wochenende', 'Wochen de', 'Kochende', 'Wogende', 'Wegende', 'Lochende', 'Mögende', 'Pochende', 'Vögelnde', 'Vögelte', 'Wochen', 'Wachende', 'Legende', 'Wagende', 'Wogend', 'Zögerte', 'Wogendem', 'Wochentag', 'Wogenden', 'Kochendem']
25	Ich wurd wäre Ihnen sehr dankbar , wenn Sie mich meine Fragen benantworten würden .	benantworten	62	74	beantworten	beantworten	y	['beantworten', 'beantwortet', 'verantworten', 'Beantworten', 'Einantworten', 'Verantworten', 'beantworte', 'beantwortend', 'überantworten']
26	Eva Meier Schmidt Müllergasse 12 12345 Stadt X Kroatien Aupair-sglobal Bahnhofstr .	Aupair-sglobal	56	70	Asaisonal	Aupairsglobal	n	['Au pair-global', 'Au pair-globale', 'Au pair-Global', 'Au pair-global-', 'Au-pair-global']
27	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	interesiert	116	127	interessiert	interessiert	y	['interessiert', 'interessierte', 'interniert', 'interagiert', 'interveniert', 'interessiere', 'interferiert', 'interessierst', 'interzediert']
28	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	teil	134	138	teil	teilzunehmen	n	[]
29	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	zu	139	141	zu	teilzunehmen	n	[]
30	101 65185 Wiesbaden Stadt X , 14.05.2011 Sehr geehrte Damen und Herren , ich habe Ihre Anzeige gelesen und bin sehr interesiert daran teil zu nehmen .	nehmen	142	148	nehmen	teilzunehmen	n	[]
31	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	dass	43	47	das	das	y	[]
32	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Au-pair	48	55	unfair	Au-pair-Stelle	n	[]
33	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	Stelle	56	62	Stellen	Au-pair-Stelle	n	[]
34	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	möglichkeit	108	119	Möglichkeit	Möglichkeit	y	['Möglichkeit', 'Höflichkeit', 'Löslichkeit', 'Unmöglichkeit', 'Löblichkeit', 'Tödlichkeit']
35	Seit ein paar Jahren lerne ich Deutsch und dass Au-pair Stelle in Deutschland wäre für mich noch eine tolle möglichkeit meine sprache zu verbessern .	sprache	126	133	Sprache	Sprache	y	['sprach', 'Sprache', 'spräche', 'sprachen', 'spreche', 'sprächen', 'spracht', 'sprächet', 'sprechen', 'spricht', 'sprich', 'zutage', 'Absage', 'Absprache', 'Ansprache', 'Apache', 'Drache', 'Garage', 'Sprüche']
36	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Lehrerin	64	72	Lehrerin	Lehrerinausbildung	n	[]
37	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	Ausbildung	73	83	Ausbildung	Lehrerinausbildung	n	[]
38	Ich kann sehr gut mit Kinder zusammen arbeiten , weil ich schon Lehrerin Ausbildung habe , in Kroatien hab ich in Schule gearbeitet ich freue mich auch Deutschland zu endecken , mit viele Sehenswürdigkeiten und Kultur .	endecken	167	175	entdecken	entdecken	y	['Endecken', 'entdecken', 'entlocken', 'eindecken', 'entpacken', 'entzücken', 'entrücken', 'entgegen', 'entwickeln', 'decken', 'endeten', 'entdeckten', 'entzogen', 'bedecken', 'erwecken', 'Andenken', 'abdecken', 'endenden', 'verdecken', 'andocken', 'enteignen']
39	Mit Freundlichen grüßen , Eva Meier	Freundlichen	4	16	freundlichen	freundlichen	y	[]
40	Mit Freundlichen grüßen , Eva Meier	grüßen	17	23	Grüßen	Grüßen	y	[]
41	Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	WOLTE	207	212	Worte	WOLLTE	n	['WO LTE', 'LTE', 'WLTP']
42	Frau EVA SCHMIDT BAHNHOFSTR , 8-12 , 1234 STADT X LITAUEN AUPAIRSGLOBAL BAHNHOFSTR : 101 , 65185 WIESBADEN 0611/9988776 STADT X , 14.05.2011 SEHR GEEHRTE DAMEN UND HERREN ICH HABE IHRE ANZEIGE GELESEN ; UND WOLTE NOCH EIN PAAR FRAGEN STELEN .	STELEN	234	240	Selen	STELLEN	n	[]
43	ICH HABE LITAUISCHE STAATSANGEHORISCHKEIT : WIE IST MIT AUFENTHALTSFORMALITÄTEN ?	STAATSANGEHORISCHKEIT	20	41	Staatlichkeit	STAATSANGEHÖRIGKEIT	n	[]
44	"( LITAUEN IST IN den EU ) : BRAUCHE ICH "" EINE ABITUR DIPLOME und ec : DOKUMENTE ZU UBERSETZEN ?"	UBERSETZEN	84	94	ersetzen	ÜBERSETZEN	n	['BESETZEN']
45	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	POWEREITUNG	26	37	Wertung	vORBEREITUNG	n	[]
46	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wolte	156	161	wollte	wollte	y	['wollte', 'holte', 'volle', 'wohnte', 'wolle', 'wilde', 'Nolte', 'Nolde', 'Bolte', 'Dolde', 'holde', 'wölbte', 'Golde', 'Solde', 'Volte', 'johlte', 'nölte', 'vote', 'walte', 'wogte']
47	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	wisen	162	167	wissen	wissen	y	['weisen', 'wissen', 'Eisen', 'wiesen', 'Visen', 'vifen', 'einen', 'wie', 'waren', 'vier', 'diesen', 'vielen', 'wegen', 'Wien', 'viel', 'außen', 'weißen', 'lesen', 'lösen']
48	WIE LANG DAUERT die GANZE POWEREITUNG mit - unreadable - WO ICH SOLLTE MICH MELDEN WEGEN ARBEITSGENEHMIGUNG ( in mein Heimatsland oder in Deutschland ) Ich wolte wisen , welche Sprache wird in der Familie geschprochen .	geschprochen	205	217	gesprochen	gesprochen	y	['gesprochen', 'gesprochene', 'besprochen', 'gesprochenen', 'Gesprächen', 'besprechen', 'gesprochener', 'gesprochenes', 'besprachen', 'besprochene', 'gesprochenem', 'wegbrechen', 'Besprechen', 'besprächen', 'gesprossen', 'wegbrachen', 'wegbrächen', 'wegkrochen', 'wegkröchen']
49	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	Deutsche	19	27	deutsch	deutsche	n	[]
50	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	sprache	64	71	Sprache	Sprache	y	['sprach', 'Sprache', 'spräche', 'sprachen', 'spreche', 'sprächen', 'spracht', 'sprächet', 'sprechen', 'spricht', 'sprich', 'zutage', 'Absage', 'Absprache', 'Ansprache', 'Apache', 'Drache', 'Garage', 'Sprüche']
51	Ich möchte gern in Deutsche Familie arbeiten - um meine Deutsch sprache zu verbesern .	verbesern	75	84	verbessern	verbessern	y	['verbessern', 'verbessert', 'verbesser', 'verlesen', 'veräußern', 'Kerpenern', 'verbüßen', 'verteuern', 'verbessere', 'verfeuern', 'verwesen', 'verwässern', 'Verbessern', 'Verwesern', 'verbauern', 'verbessernd', 'verbessre', 'verbeten', 'verbiestern', 'verbäten']
52	( Englisch spreche ich nicht ) Noch ein paar Fragen : - Wie viele Stunde am Tag würde ich Arbeiten ?	Arbeiten	90	98	arbeiten	arbeiten	y	[]
53	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	wan	2	5	An	wann	n	['wann', 'WAN', 'van', 'von', 'an', 'war', 'man', 'was', 'San', 'Jan', 'Iwan', 'wen', 'ran', 'wär', 'wand', 'Dan', 'Fan', 'Pan', 'Swan', 'vag']
54	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Schuhle	25	32	Schule	Schule	y	['Schule', 'Schuhe', 'Gülle', 'Gute', 'Schüler', 'Schmale', 'Schulen', 'Gehe', 'Schulz', 'Schale', 'Schwule', 'Schulze', 'Schuld', 'Schüsse', 'Schulte', 'Galle', 'Schürte', 'Gaulle', 'Schütze', 'Güte']
55	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	organizieren	81	93	organisieren	organisieren	y	['organisieren', 'Organ-zieren', 'organisierten', 'organisiere', 'organisierend', 'organisiert', 'organisierte', 'organisierter', 'organisiertes', 'organisierende', 'organisiertem', 'Organisierens', 'Urbanisieren', 'organischeren', 'organisier', 'organisierst', 'organisiertet', 'romanisieren', 'urbanisieren', 'veganisieren']
56	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Deutschsprache	184	198	deutschsprachige	Deutschsprachkurs	n	[]
57	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	Kurse	199	204	Kurse	Deutschsprachkurs	n	[]
58	- wan Kinder sind in die Schuhle , oder in der KITA , darf ich meine Zeit selbst organizieren ( Einkaufen , Putzen , Ordnung machen - oder gibs eine feste Zeitplan ) - Dürfte ich eine Deutschsprache Kurse besuschen ?	besuschen	205	214	besuchen	besuchen	y	['besuchen', 'bezogen', 'besuchten', 'besagen', 'besungen', 'Bezügen', 'belügen', 'befugen', 'bezögen', 'beäugen', 'besuchte', 'gezogen', 'belegen', 'bewegen', 'besiegen', 'gesungen', 'persischen', 'genügen', 'bewachsen', 'Bezüge']
59	Gibs in Eurere Statd solche Kurse ???	Statd	15	20	Stadt	Stadt	y	['Stadt', 'Statt', 'Städte', 'Stand', 'Staat', 'Staut', 'Start', 'Stabt', 'Stätte', 'Stade', 'Stakt', 'Statte', 'Starb', 'Satz', 'Stark', 'Städten', 'Steht', 'Scott', 'Stets']
60	Ich gerne schwimmen ( das tut gut für Stresausbau ) , dürfte ich das auch in Deutschland machen ?	Stresausbau	38	49	Stackaufbau	Stressabbau	n	['Strebausbau', 'Strebbusbau', 'Strebausbaus', 'Stressbau', 'Stromausbau', 'Stressausbau', 'Streuausbau', 'Streitausbau', 'Sturzausbau', 'Streikausbau', 'Strohausbau', 'Streifausbau', 'Stabsausbau', 'Stehausbau', 'Sternausbau', 'Strafausbau']
61	Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	mitte	47	52	Mitte	Mitte	y	['Mitte', 'mitten', 'milde', 'bitte', 'Sitte', 'mimte', 'mittel', 'matte', 'mixte', 'litte', 'ritte', 'Bitte', 'Ritte', 'Titte', 'fitte', 'kitte', 'miete', 'miste', 'mittle', 'mittue']
62	Ich warte auf ihre Antwort , und bin bereit ab mitte Mai nach Deutschland abreiten .	abreiten	74	82	arbeiten	arbeiten	y	['ab reiten', 'arbeiten', 'breiten', 'ableiten', 'abreißen', 'abreisen', 'abrieten', 'abreiben', 'abregten', 'abreisten', 'abweiden', 'anreiten', 'arbeitet', 'breite', 'breiter', 'breites', 'ableitet', 'abtreten', 'bereiten', 'breitet']
63	101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	interesse	147	156	Interesse	interessiert	n	['Interesse', 'Interessen', 'Interesses', 'Hinterhesse']
64	101 65185 Wiesbaden Eva Winkelmann Müllergasse 12/21 12-321 Stadt Y Sehr geehrte Damen und Herren , ich schreibe an Sie , weil ich an Ihre Anzeige interesse bin Ich mag neue Länder und Menschen kennen lennen und ich liebe reisen ich denke , dass die Arbeit als Au-pair ideall für mich ist , deshalb möchte ich für Sie ein paar Frage stellen .	ideall	269	275	ideal	ideal	y	['ideal', 'ideale', 'ideell', 'idealen', 'idealer', 'ideales', 'ideelle', 'idealem', 'stell', 'Ideal', 'Ideals', 'Stall', 'Stell', 'deale', 'dealt', 'drall', 'idealst', 'Idealo']
65	Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	neues	123	128	neue	Neues	n	[]
66	Dieser Kurs beinhaltet Deutsch , Englisch , EDV Zu meinen Stärken gehört Belastbarkeit und Teamfähigkeit , ich lerne gerne neues , und arbeite in Aufgabengebiet schnell ein meine Praktikum fängt in April an , ich muss 20 Stunden pro Woche arbeiten Wenn das Praktikum gut verlaüft , möchte ich mich bei Ihnen als Systemkauffrau lernen Ich hoffe mit meiner Bewerbung Ihr Interess geweckt zu haben .	verlaüft	271	279	verkauft	verläuft	n	['verläuft', 'verlauft', 'verkauft', 'verlangt', 'verlässt', 'verlacht', 'verlaufe', 'erlauft', 'herlauft', 'herläuft', 'vergafft', 'verhalft', 'verladet', 'verlasst', 'verlast', 'verlauf', 'verlaust', 'verlieft', 'verlädst', 'verlädt']
67	Bewerbung um ein Praktikum Sehr geehrte Damen und Herren , hiermit möchte ich mich als praktikantin in Ihrer Einrichtung bewerben .	praktikantin	87	99	Praktikantin	Praktikantin	y	['Praktikantin', 'PraktikantIn', 'Praktikanten']
68	Dies macht mir große freude .	freude	21	27	Freude	Freude	y	['Freude', 'freu de', 'freute', 'fremde', 'freut', 'freue', 'freuten', 'Bräute', 'bläute', 'dräute', 'freite', 'freunde', 'freutet', 'fräste', 'freie', 'breite', 'drehte', 'prägte', 'vierte', 'Freunde']
69	Ich bin Motiviert an arbeite gern im Team .	Motiviert	8	17	motiviert	motiviert	y	['motiviert']
70	Ich bin Studentin als Betriebswirtschaftslehre an der XY Universität in Stadt Y und Ich will in Deutschland weiter Studieren .	Ich	84	87	ich	ich	y	[]
71	Ich kann gut mit andere Leute zusammen arbeiten Ich lerne gerne neues dazu .	neues	64	69	neue	Neues	n	[]
72	Ich kann sehr gut mit Computer arbeiten und ich kenne officeprogramme sehr gut .	officeprogramme	54	69	Traineeprogramme	Officeprogramme	n	[]
73	Ich freue mich sehr über ein vorstellungsspräch .	vorstellungsspräch	29	47	Versteifungsblech	Vorstellungsgespräch	n	[]
74	123 12345 Stadt X Computer-Spezialist Odenwaldstraße 5 53119 Bonn 08.02.2009 Bewerbung um einen Praktikumsplatz Sehr geehrte Damen und Herren , Ich interessiere mich dafür , mein Praktikum bei Ihrem Geschäft zu machen .	Ich	144	147	Ich	ich	n	[]
75	Ich spreche gut Russisch , Deutsch , Englisch und ich habe Grundkenntnisse in Franzosisch .	Franzosisch	78	89	französisch	Französisch	n	['Französisch', 'Französischs', 'Französische', 'Französischen', 'Französischer', 'Französischem', 'Französisches']
76	Julia Müller Stadt X , den 11,3,2010 Bahnhof str 101	Bahnhof	37	44	Bahn	Bahnhofstr.	n	[]
77	Julia Müller Stadt X , den 11,3,2010 Bahnhof str 101	str	45	48	Str.	Bahnhofstr.	n	['str.', 'StR', 'zur', 'stur', 'der', 'ist', 'er', 'für', 'war', 'zu', 'oder', 'sie', 'zum', 'nur', 'so', 'vor', 'ihr', 'sehr', 'sei', 'starb', 'stark']
78	.	.	0	1	.	Bahnhofstr.	n	['.']
79	12 12345 Stadt X VertriebPraktikant w. / m Bahnhofstr .	VertriebPraktikant	17	35	Praktikant	Vertriebspraktikant	n	['Vertrieb Praktikant']
80	5 , 53119 Bonn Seher geeharter Dammen und Herren !	Seher	15	20	Eher	Sehr	n	[]
81	5 , 53119 Bonn Seher geeharter Dammen und Herren !	geeharter	21	30	geehrte	geehrte	y	['geehrter', 'gelehrter', 'gechartert', 'geehrte', 'geehrten', 'gekehrter', 'gehörter', 'geklärter', 'beehrter', 'geehrtem', 'geehrtes', 'gegarter', 'gehabter', 'geharkter', 'gepaarter', 'gescharter', 'gesparter', 'gewahrter', 'geäderter', 'kälteharter']
82	5 , 53119 Bonn Seher geeharter Dammen und Herren !	Dammen	31	37	Damen	Damen	y	['Dämmen', 'Damen', 'Dummen', 'Daumen', 'Rammen', 'Dämme', 'Kämmen', 'Damme', 'Dammes', 'Wammen', 'Dammer', 'Dimmen', 'Dämmens', 'Dämmend', 'Dämmern', 'Därmen', 'Dämmten', 'Jammen', 'Namen', 'Kamen']
83	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	Kaufmännischen	36	50	kaufmännischen	kaufmännischen	y	['kaufmännischen']
84	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	VertrebPraktik	61	75	Vertebraten	Vertriebspraktikant	n	[]
85	In der Zeitung habe ich gelesen für Kaufmännischen Beruf und VertrebPraktik ant w/m .	ant	76	79	an	Vertriebspraktikant	n	['und', 'an', 'alt', 'ans', 'Kant', 'ahnt', 'ante', 'anti', 'aßt', 'äst', 'in', 'ist', 'mit', 'als', 'auf', 'aus', 'am', 'ab', 'hat', 'kann']
86	Ich möchte gern Teinehmen .	Teinehmen	16	25	teilnehmen	teilnehmen	y	['Teilnehmer', 'Teilnehmen', 'Einnehmen', 'Teilnahmen', 'Teilnehmern', 'Vernehmen', 'Benehmen', 'Wegnehmen', 'Genehmen', 'Teilnehmend', 'Hernehmen', 'Teilnehmens', 'Einnähmen', 'Freinehmen', 'Hernähmen', 'Reinnehmen', 'Wegnähmen', 'Heimnehmen', 'Teilnehme', 'Teilnähmen']
87	Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	intersieren	14	25	interessieren	interessieren	y	['internieren', 'integrieren', 'interessieren', 'unterziehen', 'interagieren', 'intensiveren', 'internierten', 'interviewen', 'inserieren', 'invertieren', 'indexieren', 'Internieren', 'Unterzielen', 'Winterbieren', 'Wintertieren', 'indossieren', 'inferieren', 'inhärieren', 'innervieren', 'intendieren']
88	Weil habe ich intersieren mich für diesen fach und möchte gern Teil nehmen .	fach	42	46	nach	Fach	n	[]
89	Invormieren Sie mir für diesen fach .	Invormieren	0	11	Informieren	Informieren	y	['Informieren', 'Informierens', 'Informierten', 'Reformieren', 'Informiere', 'Deformieren', 'Informierend', 'Normieren', 'Informiert', 'Informierte', 'Informierung', 'Invertieren', 'Involvieren', 'Unförmigeren', 'Inferieren', 'Informierende', 'Informierst', 'Informiertem', 'Informierter', 'Informiertes']
