Languagetool gets right: 2478
Out of: 5366
Accuracy: 0.462

LT correct + ours correct: 1813
LT correct + ours incorrect: 665
LT incorrect + ours correct: 1176
LT incorrect + ours incorrect: 1712

############ Correct by Languagetool, correct by us ##########
orig: Naturlich 	 correct: Natürlich ours: Natürlich
orig: aufhehmen 	 correct: aufnehmen ours: aufnehmen
orig: profiteren 	 correct: profitieren ours: profitieren
orig: interesiere 	 correct: interessiere ours: interessiere
orig: entschprechen 	 correct: entsprechen ours: entsprechen
orig: interressiere 	 correct: interessiere ours: interessiere
orig: geeherte 	 correct: geehrte ours: geehrte
orig: Verkaüferin 	 correct: Verkäuferin ours: Verkäuferin
orig: Kommunikativ 	 correct: kommunikativ ours: kommunikativ
orig: Kentnisse 	 correct: Kenntnisse ours: Kenntnisse
orig: mentalität 	 correct: Mentalität ours: Mentalität
orig: internet 	 correct: Internet ours: Internet
orig: informatiker 	 correct: Informatiker ours: Informatiker
orig: Abschluß 	 correct: Abschluss ours: Abschluss
orig: innteressiere 	 correct: interessiere ours: interessiere
orig: erfahrung 	 correct: Erfahrung ours: Erfahrung
orig: informationen 	 correct: Informationen ours: Informationen
orig: sachen 	 correct: Sachen ours: Sachen
orig: moglichst 	 correct: möglichst ours: möglichst
orig: informationen 	 correct: Informationen ours: Informationen
orig: Spezielle 	 correct: spezielle ours: spezielle
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: verbesseren 	 correct: verbessern ours: verbessern
orig: deutsch-sprächige 	 correct: deutschsprachige ours: deutschsprachige
orig: verbesseren 	 correct: verbessern ours: verbessern
orig: spatzieren 	 correct: spazieren ours: spazieren
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: universität 	 correct: Universität ours: Universität
orig: Jetzt 	 correct: jetzt ours: jetzt
orig: wäsche 	 correct: Wäsche ours: Wäsche
orig: erlaubnis 	 correct: Erlaubnis ours: Erlaubnis
orig: Schriftliche 	 correct: schriftliche ours: schriftliche
orig: Haben 	 correct: haben ours: haben
orig: interesant 	 correct: interessant ours: interessant
orig: Gesprech 	 correct: Gespräch ours: Gespräch
orig: erkleren 	 correct: erklären ours: erklären
orig: moglich 	 correct: möglich ours: möglich
orig: ehemalichen 	 correct: ehemaligen ours: ehemaligen
orig: Gesprech 	 correct: Gespräch ours: Gespräch
orig: verfügung 	 correct: Verfügung ours: Verfügung
orig: Anziege 	 correct: Anzeige ours: Anzeige
orig: Anziege 	 correct: Anzeige ours: Anzeige
orig: schreklich 	 correct: schrecklich ours: schrecklich
orig: informationen 	 correct: Informationen ours: Informationen
orig: Zeitug 	 correct: Zeitung ours: Zeitung
orig: Gumnasium 	 correct: Gymnasium ours: Gymnasium
orig: frage 	 correct: Frage ours: Frage
orig: voraus 	 correct: Voraus ours: Voraus
orig: däfur 	 correct: dafür ours: dafür
orig: Italienische 	 correct: italienische ours: italienische
orig: interesire 	 correct: interessiere ours: interessiere
orig: ende 	 correct: Ende ours: Ende
orig: informationen 	 correct: Informationen ours: Informationen
orig: Betref 	 correct: Betreff ours: Betreff
orig: lehrnen 	 correct: lernen ours: lernen
orig: Wisum 	 correct: Visum ours: Visum
orig: Ukrainische 	 correct: ukrainische ours: ukrainische
orig: erstatet 	 correct: erstattet ours: erstattet
orig: Ausserdem 	 correct: Außerdem ours: Außerdem
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: aufmerksamm 	 correct: aufmerksam ours: aufmerksam
orig: beherschen 	 correct: beherrschen ours: beherrschen
orig: dorauf 	 correct: darauf ours: darauf
orig: bessten 	 correct: besten ours: besten
orig: Moglichkeit 	 correct: Möglichkeit ours: Möglichkeit
orig: gelessen 	 correct: gelesen ours: gelesen
orig: oder 	 correct: Oder ours: Oder
orig: obwol 	 correct: obwohl ours: obwohl
orig: information 	 correct: Information ours: Information
orig: ich 	 correct: Ich ours: Ich
orig: Wenn 	 correct: wenn ours: wenn
orig: arbeit 	 correct: Arbeit ours: Arbeit
orig: Muss 	 correct: muss ours: muss
orig: intersante 	 correct: interessante ours: interessante
orig: kummern 	 correct: kümmern ours: kümmern
orig: gerechtlich 	 correct: gerichtlich ours: gerichtlich
orig: Betreeuung 	 correct: Betreuung ours: Betreuung
orig: versiecherte 	 correct: versicherte ours: versicherte
orig: geleseh 	 correct: gelesen ours: gelesen
orig: dass 	 correct: das ours: das
orig: Betreung 	 correct: Betreuung ours: Betreuung
orig: familie 	 correct: Familie ours: Familie
orig: Sehen 	 correct: sehen ours: sehen
orig: familie 	 correct: Familie ours: Familie
orig: So 	 correct: so ours: so
orig: Streiht 	 correct: Streit ours: Streit
orig: geschenke 	 correct: Geschenke ours: Geschenke
orig: alles 	 correct: Alles ours: Alles
orig: haus 	 correct: Haus ours: Haus
orig: mit 	 correct: Mit ours: Mit
orig: unbefridigend 	 correct: unbefriedigend ours: unbefriedigend
orig: französiche 	 correct: französische ours: französische
orig: ausserdem 	 correct: außerdem ours: außerdem
orig: Enchädigung 	 correct: Entschädigung ours: Entschädigung
orig: Grüssen 	 correct: Grüßen ours: Grüßen
orig: dürch 	 correct: durch ours: durch
orig: beckommen 	 correct: bekommen ours: bekommen
orig: Auserdem 	 correct: Außerdem ours: Außerdem
orig: information 	 correct: Information ours: Information
orig: beckommen 	 correct: bekommen ours: bekommen
orig: beckommen 	 correct: bekommen ours: bekommen
orig: arbeit 	 correct: Arbeit ours: Arbeit
orig: beckomen 	 correct: bekommen ours: bekommen
orig: AnZeige 	 correct: Anzeige ours: Anzeige
orig: Leider 	 correct: leider ours: leider
orig: AnZeige 	 correct: Anzeige ours: Anzeige
orig: innerhalbe 	 correct: innerhalb ours: innerhalb
orig: müller 	 correct: Müller ours: Müller
orig: sonder 	 correct: sondern ours: sondern
orig: müller 	 correct: Müller ours: Müller
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: Nr 	 correct: Nr. ours: Nr.
orig: Schlimmsten 	 correct: schlimmsten ours: schlimmsten
orig: spatzieren 	 correct: spazieren ours: spazieren
orig: unsimphatisch 	 correct: unsympathisch ours: unsympathisch
orig: Guitarre 	 correct: Gitarre ours: Gitarre
orig: sache 	 correct: Sache ours: Sache
orig: anfang 	 correct: Anfang ours: Anfang
orig: informationen 	 correct: Informationen ours: Informationen
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: kummern 	 correct: kümmern ours: kümmern
orig: entlich 	 correct: endlich ours: endlich
orig: geherte 	 correct: geehrte ours: geehrte
orig: gefalen 	 correct: gefallen ours: gefallen
orig: telefonich 	 correct: telefonisch ours: telefonisch
orig: wochen 	 correct: Wochen ours: Wochen
orig: fühelen 	 correct: fühlen ours: fühlen
orig: Bezahlt 	 correct: bezahlt ours: bezahlt
orig: situation 	 correct: Situation ours: Situation
orig: kummerte 	 correct: kümmerte ours: kümmerte
orig: bugeln 	 correct: bügeln ours: bügeln
orig: zuruck 	 correct: zurück ours: zurück
orig: ablehnung 	 correct: Ablehnung ours: Ablehnung
orig: Grüssen 	 correct: Grüßen ours: Grüßen
orig: bischen 	 correct: bisschen ours: bisschen
orig: euro 	 correct: Euro ours: Euro
orig: Grüsse 	 correct: Grüße ours: Grüße
orig: Betreung 	 correct: Betreuung ours: Betreuung
orig: tag 	 correct: Tag ours: Tag
orig: monat 	 correct: Monat ours: Monat
orig: erfahrungen 	 correct: Erfahrungen ours: Erfahrungen
orig: familie 	 correct: Familie ours: Familie
orig: schrekliche 	 correct: schreckliche ours: schreckliche
orig: grossem 	 correct: großem ours: großem
orig: höhe 	 correct: Höhe ours: Höhe
orig: wasser 	 correct: Wasser ours: Wasser
orig: ungefahr 	 correct: ungefähr ours: ungefähr
orig: monate 	 correct: Monate ours: Monate
orig: züruck 	 correct: zurück ours: zurück
orig: leit 	 correct: leid ours: leid
orig: Mündliche 	 correct: mündliche ours: mündliche
orig: situation 	 correct: Situation ours: Situation
orig: probleme 	 correct: Probleme ours: Probleme
orig: beschwerde 	 correct: Beschwerde ours: Beschwerde
orig: lösung 	 correct: Lösung ours: Lösung
orig: Deustchland 	 correct: Deutschland ours: Deutschland
orig: familie 	 correct: Familie ours: Familie
orig: land 	 correct: Land ours: Land
orig: betreuung 	 correct: Betreuung ours: Betreuung
orig: Zu 	 correct: zu ours: zu
orig: Freundlichen 	 correct: freundlichen ours: freundlichen
orig: interessire 	 correct: interessiere ours: interessiere
orig: interesiere 	 correct: interessiere ours: interessiere
orig: gelessen 	 correct: gelesen ours: gelesen
orig: erfachren 	 correct: erfahren ours: erfahren
orig: Betreeung 	 correct: Betreuung ours: Betreuung
orig: interesiert 	 correct: interessiert ours: interessiert
orig: funfzig 	 correct: fünfzig ours: fünfzig
orig: Homepege 	 correct: Homepage ours: Homepage
orig: tätigkeit 	 correct: Tätigkeit ours: Tätigkeit
orig: betreuung 	 correct: Betreuung ours: Betreuung
orig: schiken 	 correct: schicken ours: schicken
orig: dafur 	 correct: dafür ours: dafür
orig: Arbet 	 correct: Arbeit ours: Arbeit
orig: interessire 	 correct: interessiere ours: interessiere
orig: kummern 	 correct: kümmern ours: kümmern
orig: bischen 	 correct: bisschen ours: bisschen
orig: besonder 	 correct: besonders ours: besonders
orig: Anworten 	 correct: Antworten ours: Antworten
orig: genugend 	 correct: genügend ours: genügend
orig: besuch 	 correct: Besuch ours: Besuch
orig: naturlich 	 correct: natürlich ours: natürlich
orig: freundilichen 	 correct: freundlichen ours: freundlichen
orig: verdinnen 	 correct: verdienen ours: verdienen
orig: andaren 	 correct: anderen ours: anderen
orig: kontakt 	 correct: Kontakt ours: Kontakt
orig: beherschen 	 correct: beherrschen ours: beherrschen
orig: Famielien 	 correct: Familien ours: Familien
orig: Famielie 	 correct: Familie ours: Familie
orig: interesiere 	 correct: interessiere ours: interessiere
orig: Geehrte 	 correct: geehrte ours: geehrte
orig: geleasen 	 correct: gelesen ours: gelesen
orig: Sehr 	 correct: sehr ours: sehr
orig: Möchte 	 correct: möchte ours: möchte
orig: bevore 	 correct: bevor ours: bevor
orig: Sehr 	 correct: sehr ours: sehr
orig: drauf 	 correct: darauf ours: darauf
orig: Weil 	 correct: weil ours: weil
orig: Mich 	 correct: mich ours: mich
orig: entschiden 	 correct: entschieden ours: entschieden
orig: Deautschland 	 correct: Deutschland ours: Deutschland
orig: Kleine 	 correct: kleine ours: kleine
orig: Kümmern 	 correct: kümmern ours: kümmern
orig: Sind 	 correct: sind ours: sind
orig: Kann 	 correct: kann ours: kann
orig: Mich 	 correct: mich ours: mich
orig: vermitllen 	 correct: vermitteln ours: vermitteln
orig: nomaleweise 	 correct: normalerweise ours: normalerweise
orig: interesse 	 correct: Interesse ours: Interesse
orig: erfahrungen 	 correct: Erfahrungen ours: Erfahrungen
orig: genugend 	 correct: genügend ours: genügend
orig: formalitäten 	 correct: Formalitäten ours: Formalitäten
orig: erfahrung 	 correct: Erfahrung ours: Erfahrung
orig: betreuung 	 correct: Betreuung ours: Betreuung
orig: geschwester 	 correct: Geschwister ours: Geschwister
orig: wort 	 correct: Wort ours: Wort
orig: informationen 	 correct: Informationen ours: Informationen
orig: gelessen 	 correct: gelesen ours: gelesen
orig: vorbereitat 	 correct: vorbereitet ours: vorbereitet
orig: Prufüng 	 correct: Prüfung ours: Prüfung
orig: Göethe 	 correct: Goethe ours: Goethe
orig: kinder 	 correct: Kinder ours: Kinder
orig: verantwortung 	 correct: Verantwortung ours: Verantwortung
orig: verfügung 	 correct: Verfügung ours: Verfügung
orig: sachen 	 correct: Sachen ours: Sachen
orig: Fraen 	 correct: Frauen ours: Frauen
orig: gestallten 	 correct: gestalten ours: gestalten
orig: intigrieren 	 correct: integrieren ours: integrieren
orig: schwirigkeiten 	 correct: Schwierigkeiten ours: Schwierigkeiten
orig: intigriert 	 correct: integriert ours: integriert
orig: intigriert 	 correct: integriert ours: integriert
orig: Schluß 	 correct: Schluss ours: Schluss
orig: Zussammenfassend 	 correct: Zusammenfassend ours: Zusammenfassend
orig: Konventionell 	 correct: konventionell ours: konventionell
orig: Wenn 	 correct: wenn ours: wenn
orig: ungewohnlich 	 correct: ungewöhnlich ours: ungewöhnlich
orig: Es 	 correct: es ours: es
orig: ausschlaggeben 	 correct: ausschlaggebend ours: ausschlaggebend
orig: integriren 	 correct: integrieren ours: integrieren
orig: Ukraina 	 correct: Ukraine ours: Ukraine
orig: Gefülle 	 correct: Gefühle ours: Gefühle
orig: Kontekst 	 correct: Kontext ours: Kontext
orig: emfehle 	 correct: empfehle ours: empfehle
orig: Zügehorigkeit 	 correct: Zugehörigkeit ours: Zugehörigkeit
orig: heimweh 	 correct: Heimweh ours: Heimweh
orig: tradition 	 correct: Tradition ours: Tradition
orig: Eigene 	 correct: eigene ours: eigene
orig: bekleidung 	 correct: Bekleidung ours: Bekleidung
orig: ermütigen 	 correct: ermutigen ours: ermutigen
orig: Traurig 	 correct: traurig ours: traurig
orig: leser 	 correct: Leser ours: Leser
orig: Ganze 	 correct: ganze ours: ganze
orig: benuzen 	 correct: benutzen ours: benutzen
orig: eifach 	 correct: einfach ours: einfach
orig: Schwiez 	 correct: Schweiz ours: Schweiz
orig: Deutscheland 	 correct: Deutschland ours: Deutschland
orig: sinvoll 	 correct: sinnvoll ours: sinnvoll
orig: interssant 	 correct: interessant ours: interessant
orig: Kulturelle 	 correct: kulturelle ours: kulturelle
orig: bevorzügt 	 correct: bevorzugt ours: bevorzugt
orig: heuzutage 	 correct: heutzutage ours: heutzutage
orig: presäntieren 	 correct: präsentieren ours: präsentieren
orig: Heute 	 correct: heute ours: heute
orig: presäntieren 	 correct: präsentieren ours: präsentieren
orig: ungebung 	 correct: Umgebung ours: Umgebung
orig: Gesätze 	 correct: Gesetze ours: Gesetze
orig: bischen 	 correct: bisschen ours: bisschen
orig: intigrieren 	 correct: integrieren ours: integrieren
orig: Anderen 	 correct: anderen ours: anderen
orig: Gesellsaft 	 correct: Gesellschaft ours: Gesellschaft
orig: bischen 	 correct: bisschen ours: bisschen
orig: Bewöhner 	 correct: Bewohner ours: Bewohner
orig: globaliesirte 	 correct: globalisierte ours: globalisierte
orig: niederlassung 	 correct: Niederlassung ours: Niederlassung
orig: villeicht 	 correct: vielleicht ours: vielleicht
orig: Gesätze 	 correct: Gesetze ours: Gesetze
orig: Schlieslich 	 correct: Schließlich ours: Schließlich
orig: ausländer 	 correct: Ausländer ours: Ausländer
orig: familiere 	 correct: familiäre ours: familiäre
orig: Turisten 	 correct: Touristen ours: Touristen
orig: desswegen 	 correct: deswegen ours: deswegen
orig: schwehr 	 correct: schwer ours: schwer
orig: schwehr 	 correct: schwer ours: schwer
orig: wharscheinlich 	 correct: wahrscheinlich ours: wahrscheinlich
orig: Whonung 	 correct: Wohnung ours: Wohnung
orig: vortsetzen 	 correct: fortsetzen ours: fortsetzen
orig: interesse 	 correct: Interesse ours: Interesse
orig: Auserdem 	 correct: Außerdem ours: Außerdem
orig: Traditiönen 	 correct: Traditionen ours: Traditionen
orig: sinvoll 	 correct: sinnvoll ours: sinnvoll
orig: Unterschide 	 correct: Unterschiede ours: Unterschiede
orig: interesant 	 correct: interessant ours: interessant
orig: Alle 	 correct: alle ours: alle
orig: Kenntniss 	 correct: Kenntnis ours: Kenntnis
orig: gehrten 	 correct: geehrten ours: geehrten
orig: cirka 	 correct: circa ours: circa
orig: millionen 	 correct: Millionen ours: Millionen
orig: Tradizionen 	 correct: Traditionen ours: Traditionen
orig: spaß 	 correct: Spaß ours: Spaß
orig: Öesterreich 	 correct: Österreich ours: Österreich
orig: drinken 	 correct: trinken ours: trinken
orig: drinken 	 correct: trinken ours: trinken
orig: drinken 	 correct: trinken ours: trinken
orig: dass 	 correct: das ours: das
orig: langsamm 	 correct: langsam ours: langsam
orig: zusammengestzt 	 correct: zusammengesetzt ours: zusammengesetzt
orig: Ergebniss 	 correct: Ergebnis ours: Ergebnis
orig: Niveu 	 correct: Niveau ours: Niveau
orig: könte 	 correct: könnte ours: könnte
orig: solte 	 correct: sollte ours: sollte
orig: identität 	 correct: Identität ours: Identität
orig: intressant 	 correct: interessant ours: interessant
orig: geegnite 	 correct: geeignete ours: geeignete
orig: öffensichtlich 	 correct: offensichtlich ours: offensichtlich
orig: Schwerigkeiten 	 correct: Schwierigkeiten ours: Schwierigkeiten
orig: globaliziert 	 correct: globalisiert ours: globalisiert
orig: Kurtur 	 correct: Kultur ours: Kultur
orig: auslandischen 	 correct: ausländischen ours: ausländischen
orig: funfzehn 	 correct: fünfzehn ours: fünfzehn
orig: Jahen 	 correct: Jahren ours: Jahren
orig: beweisst 	 correct: beweist ours: beweist
orig: kontakt 	 correct: Kontakt ours: Kontakt
orig: Schulusendlich 	 correct: Schlussendlich ours: Schlussendlich
orig: müheloss 	 correct: mühelos ours: mühelos
orig: müheloss 	 correct: mühelos ours: mühelos
orig: Millonen 	 correct: Millionen ours: Millionen
orig: fazienierende 	 correct: faszinierende ours: faszinierende
orig: Tradizionen 	 correct: Traditionen ours: Traditionen
orig: vortzusetzen 	 correct: fortzusetzen ours: fortzusetzen
orig: Schweßter 	 correct: Schwester ours: Schwester
orig: bier 	 correct: Bier ours: Bier
orig: dass 	 correct: das ours: das
orig: Nette 	 correct: nette ours: nette
orig: zeit 	 correct: Zeit ours: Zeit
orig: realität 	 correct: Realität ours: Realität
orig: ungariche 	 correct: ungarische ours: ungarische
orig: interressiert 	 correct: interessiert ours: interessiert
orig: ellein 	 correct: allein ours: allein
orig: gewäsen 	 correct: gewesen ours: gewesen
orig: sonder 	 correct: sondern ours: sondern
orig: zusemmen 	 correct: zusammen ours: zusammen
